TaskID,Category,Area,Priority,Severity,Phase,Epic,Task,Description,DependsOn,PrimaryFiles,AcceptanceCriteria,Status
PRD-019,Security,WebSocket,P0,Critical,Foundation,Realtime auth,Require JWT or short-lived token for websocket handshake,"Prevent anonymous access to realtime streams.",PRD-001,"internal/server/routes.go; internal/realtime/*","Unauthenticated websocket connections are rejected.","TODO"
PRD-020,Security,WebSocket,P1,High,Foundation,Realtime auth,Add topic-level authorization,"Restrict user-specific topics such as orders and positions to owning user.",PRD-019,"internal/realtime/*; internal/contracts/websocket.go","User cannot subscribe to another user's protected topics.","TODO"
PRD-021,Security,Transport,P0,High,Foundation,Origin policy,Replace allow-all websocket origin checks,"Apply strict origin allowlist for websocket upgrades.",PRD-019,"internal/server/routes.go; internal/server/broadcast.go","Websocket upgrades respect allowed origins.","TODO"
PRD-022,Security,Transport,P1,High,Foundation,Origin policy,Harden CORS configuration,"Use environment-driven allowlist and avoid open CORS in production.",PRD-001,"internal/server/routes.go","CORS is strict in prod and configurable per environment.","TODO"
PRD-023,Security,Logging,P1,High,Foundation,Secret hygiene,Integrate redaction into logging boundaries,"Ensure sensitive headers and token fields are never logged raw.",PRD-001,"internal/security/redaction.go; internal/middleware/logger.go; internal/api/handlers/*","Sensitive values are redacted in representative logs/tests.","TODO"
PRD-024,Security,Audit,P1,High,Foundation,Audit trail,Implement audit event writer utility,"Create reusable append-only audit event helper.",PRD-001,"internal/db/extended_models.go; new internal/db/audit.go","Audit helper can persist structured audit events.","TODO"
PRD-025,Security,Audit,P1,High,Foundation,Audit trail,Log login logout refresh events,"Write immutable audit events for auth actions.",PRD-024,"internal/api/handlers/auth/*","Auth audit events are persisted with request context.","TODO"
PRD-026,Security,Audit,P1,High,Foundation,Audit trail,Log broker connect callback disconnect events,"Track broker lifecycle actions for security and supportability.",PRD-024,"internal/api/handlers/broker/*","Broker actions create audit trail entries.","TODO"
PRD-027,Security,Audit,P2,High,Foundation,Audit trail,Log order and risk decisions,"Track order requests, risk approvals, rejections, and broker responses.",PRD-024,"internal/execution/*; internal/risk/*","Execution pipeline emits audit events for every decision stage.","TODO"
PRD-028,Build,Tooling,P0,High,Foundation,Build hygiene,Move server test helpers into _test.go,"Keep test-only SQLite/testing code out of production build graph.",None,"internal/server/test_helpers.go","Production build graph no longer imports sqlite test helpers.","TODO"
PRD-029,Build,Tooling,P0,Medium,Foundation,Build hygiene,Standardize GOFLAGS for buildvcs behavior,"Avoid surprise VCS stamping failures across environments.",None,"README.md; CI config","Documented and consistent build flags exist in local and CI flows.","TODO"
PRD-030,Build,Tooling,P0,Medium,Foundation,Module hygiene,Run and preserve clean go.mod/go.sum state,"Fix direct vs indirect dependency drift and keep module metadata trustworthy.",None,"go.mod; go.sum","go mod tidy produces stable expected module graph.","TODO"
PRD-031,Build,Tooling,P1,Medium,Foundation,Developer workflow,Add make or task commands for common workflows,"Create standard build, test, lint, and migration commands.",PRD-030,"README.md; scripts/*","Documented one-command workflows exist for core dev tasks.","TODO"
PRD-032,Build,CI,P1,Medium,Foundation,CI hygiene,Add go build go test go vet pipeline,"Establish baseline CI for compilation and core correctness checks.",PRD-031,"CI config","CI runs build, test, vet on every change.","TODO"
PRD-033,Architecture,Runtime,P0,Critical,Core runtime,Service lifecycle,Introduce App and RuntimeManager,"Replace ad hoc startup with explicit service lifecycle orchestration.",None,"cmd/server/main.go; new internal/app/*; new internal/runtime/*","Runtime manager starts/stops named services in deterministic order.","TODO"
PRD-034,Architecture,Runtime,P0,Critical,Core runtime,Dependency injection,Eliminate server package globals,"Remove Set* global dependency injection from server package.",PRD-033,"internal/server/routes.go; internal/server/runtime_state.go; internal/server/api_v1.go","HTTP server uses explicit dependency structs instead of globals.","TODO"
PRD-035,Architecture,Runtime,P1,High,Core runtime,Package boundaries,Split overloaded server package,"Separate HTTP, realtime, and runtime state concerns.",PRD-034,"internal/server/*","Server package no longer acts as router, WS hub, and dependency registry at once.","TODO"
PRD-036,Architecture,Runtime,P1,High,Core runtime,Service readiness,Add service status model,"Track starting, ready, degraded, stopping, and failed states per service.",PRD-033,"internal/runtime/*","Runtime can report accurate per-service status.","TODO"
PRD-037,Architecture,Runtime,P1,High,Core runtime,Service control,Add runtime start/stop/pause APIs,"Support controlled operation of ingestion, candles, indicators, realtime, and strategies.",PRD-036,"internal/api/handlers/runtime/*; internal/runtime/*","Runtime APIs can safely control managed services.","TODO"
PRD-038,Architecture,Runtime,P1,Medium,Core runtime,Shutdown correctness,Add coordinated service draining and waiting,"Use deterministic shutdown order with waits instead of loose goroutine cancellation only.",PRD-033,"internal/runtime/*; cmd/server/main.go","Shutdown drains and confirms service exit cleanly.","TODO"
PRD-039,Architecture,Boundaries,P1,High,Core runtime,Transport separation,Separate domain engines from websocket fanout,"Prevent domain services from owning websocket client registries directly.",PRD-035,"internal/data/*; internal/realtime/*","Core engines emit events and do not directly own websocket sinks.","TODO"
PRD-040,Architecture,Boundaries,P1,High,Core runtime,Persistence separation,Move indicator DB mapping out of db package,"Stop storage layer depending upward on indicator runtime types.",PRD-035,"internal/db/utils.go; internal/data/*","DB package no longer imports domain indicator types.","TODO"
PRD-041,MarketData,Ticks,P1,Critical,Data foundation,Canonical event model,Define normalized tick event schema,"Separate event_time, ingested_at, sequence, instrument, and source semantics clearly.",PRD-033,"internal/data/ingest.go; internal/db/models.go","Canonical tick event model is documented and used consistently.","TODO"
PRD-042,MarketData,Ticks,P1,High,Data foundation,Authoritative truth,Decide raw tick vs snapshot storage scope,"Choose whether full top-5 depth is canonical or optional and document retention implications.",PRD-041,"internal/db/models.go; internal/db/migrations/000004_create_market_data_table.up.sql","Storage model for canonical tick truth is explicit and implemented.","TODO"
PRD-043,MarketData,Ticks,P1,Critical,Data foundation,Backpressure policy,Stop dropping authoritative tick batches,"Replace lossy DB flush behavior with blocking, durable queueing, or explicit fail-fast mode.",PRD-041,"internal/data/ingest.go","Authoritative tick persistence path does not silently drop on pressure.","TODO"
PRD-044,MarketData,Ticks,P1,High,Data foundation,Channel ownership,Fix worker channel closure ownership,"Only service owner may close shared channels, not inner subscriber loops.",PRD-033,"internal/data/ingest.go","DB and WS worker channels are closed only by owning service lifecycle.","TODO"
PRD-045,MarketData,Ticks,P1,Medium,Data foundation,Lock scalability,Shard or refine tick sequence counters,"Reduce global lock contention in hot tick sequencing path.",PRD-041,"internal/data/ingest.go","Sequence generation no longer relies on one hot global lock path.","TODO"
PRD-046,MarketData,Ticks,P2,High,Data foundation,Reconnect behavior,Make reconnect waits context-aware everywhere,"Avoid shutdown blocking behind fixed reconnect sleeps.",PRD-033,"internal/data/ingest.go; internal/data/candels.go","Reconnect loops respect ctx cancellation immediately.","TODO"
PRD-047,MarketData,Candles,P1,Critical,Data foundation,Alignment,Replace Truncate-based candle bucketing,"Use exchange/session-relative event-time alignment for all intervals.",PRD-041,"internal/data/candels.go","1m/5m/15m/1h/daily buckets align to session rules.","TODO"
PRD-048,MarketData,Candles,P1,Critical,Data foundation,Finalization,Decouple candle close from next tick arrival,"Finalize bars using watermark/clock logic instead of only future tick transitions.",PRD-047,"internal/data/candels.go","Quiet periods still produce correctly finalized candles.","TODO"
PRD-049,MarketData,Candles,P1,Critical,Data foundation,State model,Separate open candle state from finalized storage,"Never persist incomplete bars as finalized trading truth.",PRD-048,"internal/data/candels.go; internal/db/models.go","Open state and finalized state are distinct in code and storage.","TODO"
PRD-050,MarketData,Candles,P1,Critical,Data foundation,Shutdown semantics,Stop flushing incomplete open candles as final,"Prevent restart corruption from shutdown flush behavior.",PRD-049,"internal/data/candels.go","Shutdown no longer persists partial bars as final bars.","TODO"
PRD-051,MarketData,Candles,P1,High,Data foundation,Late data policy,Define late and out-of-order tick handling,"Classify, repair, reject, or quarantine late data explicitly.",PRD-048,"internal/data/candels.go; internal/data/ingest.go","Late data policy exists and is enforced consistently.","TODO"
PRD-052,MarketData,Candles,P2,High,Data foundation,Gap behavior,Decide and implement missing-candle policy,"Handle quiet intervals, synthetic empty bars, and session edge cases intentionally.",PRD-048,"internal/data/candels.go","Gap policy is deterministic and tested.","TODO"
PRD-053,MarketData,Replay,P1,Critical,Data foundation,Recovery,Implement ReplayManager,"Rebuild candles and downstream state from persisted authoritative ticks after restart.",PRD-043,"new internal/marketdata/replay/*; internal/data/ingest.go; internal/data/candels.go","Replay can rebuild state from last safe finalized point.","TODO"
PRD-054,MarketData,Replay,P2,High,Data foundation,Recovery,Add correction replay for recently finalized buckets,"Recompute affected buckets when late ticks arrive within correction window.",PRD-051,"internal/marketdata/replay/*; internal/data/candels.go","Recent finalized bars can be corrected deterministically.","TODO"
PRD-055,Indicators,Engine,P2,Critical,Derived state,Incremental state,Replace full-history recalculation with incremental indicators,"Maintain rolling state per token/interval/indicator.",PRD-049,"internal/data/indicators_manager.go; internal/indicators/*","Indicator updates use incremental state, not full-slice recompute.","TODO"
PRD-056,Indicators,Engine,P2,High,Derived state,Concurrency,Remove goroutine-per-indicator burst pattern,"Use bounded worker model or synchronous compute inside controlled execution path.",PRD-055,"internal/data/indicators_manager.go","Indicator compute concurrency is bounded and predictable.","TODO"
PRD-057,Indicators,Engine,P2,Critical,Derived state,Input integrity,Stop dropping finalized candles before indicator processing,"Finalized candle events must be lossless or replayable for indicator correctness.",PRD-049,"internal/data/candels.go; internal/data/indicators_manager.go","Indicator engine cannot silently miss finalized bars.","TODO"
PRD-058,Indicators,Engine,P2,High,Derived state,Output integrity,Do not broadcast authoritative indicator updates before persistence decision is clear,"Define and enforce persistence-before-broadcast or event-bus pattern.",PRD-055,"internal/data/indicators_manager.go","Indicator persistence and broadcast semantics are explicit and consistent.","TODO"
PRD-059,Indicators,Hydration,P2,High,Derived state,Warm start,Load only bounded historical finalized candles,"Avoid interval-wide full scans on startup.",PRD-049,"internal/data/indicators_manager.go","Hydration queries are bounded per token/interval.","TODO"
PRD-060,Indicators,Hydration,P2,Medium,Derived state,Continuity,Validate candle continuity during hydration,"Detect gaps or suspect last bars before accepting warm state.",PRD-059,"internal/data/indicators_manager.go","Warm-start rejects or repairs discontinuous history.","TODO"
PRD-061,Indicators,Storage,P3,Medium,Derived state,Schema,Review indicator storage model for long-term scale,"Decide per-table hypertables vs unified indicator values table.",PRD-055,"internal/db/models.go; internal/db/migrations/000011_create_indicators.up.sql","Indicator storage strategy is documented and implemented intentionally.","TODO"
PRD-062,Realtime,Hub,P2,Critical,Realtime foundation,Unified connection,Build authenticated websocket hub,"Create one websocket entrypoint with topic subscriptions and filters.",PRD-019,"internal/realtime/*; internal/contracts/websocket.go","Single websocket hub handles subscriptions and auth correctly.","TODO"
PRD-063,Realtime,Hub,P2,High,Realtime foundation,Envelope consistency,Adopt contracts.WSEvent for all realtime messages,"Use typed topic/event envelopes instead of ad hoc payload shapes.",PRD-062,"internal/contracts/websocket.go; internal/realtime/*; internal/data/*","All realtime traffic uses one consistent envelope format.","TODO"
PRD-064,Realtime,Hub,P2,High,Realtime foundation,Backpressure classes,Define per-topic queue policy,"Allow lossy behavior only for safe topics like heatmap or tick snapshots.",PRD-062,"internal/realtime/*","Backpressure behavior is explicit and testable by topic class.","TODO"
PRD-065,Realtime,Hub,P2,Medium,Realtime foundation,Initial snapshot support,Provide reconnect-safe REST or snapshot hooks,"Allow clients to recover baseline state before live subscriptions.",PRD-062,"internal/realtime/*; internal/httpapi/*","Clients can bootstrap state safely after reconnect.","TODO"
PRD-066,Realtime,Migrate,P2,High,Realtime foundation,Endpoint migration,Retire /ws /ws/candles /ws/indicators /ws/heatmap,"Move legacy websocket streams into unified hub.",PRD-062,"internal/server/routes.go; internal/server/broadcast.go; internal/data/*","Legacy WS endpoints are removed or compatibility-wrapped behind hub.","TODO"
PRD-067,Realtime,Observability,P3,Medium,Realtime foundation,Metrics,Track connected clients queue depth and drops,"Add core realtime visibility for operations and scaling decisions.",PRD-062,"internal/realtime/*; internal/telemetry/*","Realtime metrics exposed for client counts, queue depth, and drops.","TODO"
PRD-068,Database,Schema,P0,Critical,Storage safety,Migration safety,Remove destructive migration behavior from all core tables,"Audit and eliminate unsafe drop-and-recreate patterns.",PRD-005,"internal/db/migrations/*","Core migrations are forward-only and production-safe.","TODO"
PRD-069,Database,Schema,P1,High,Storage safety,Market data width,Review market_data table width and retention strategy,"Reduce long-term write/storage pressure if full depth is not canonical.",PRD-042,"internal/db/models.go; internal/db/migrations/000004_create_market_data_table.up.sql","market_data storage scope and retention are explicitly justified.","TODO"
PRD-070,Database,Timescale,P1,High,Storage safety,Retention,Add Timescale retention policies,"Define raw tick and candle retention lifecycles by table class.",PRD-069,"internal/db/migrations/*","Retention policies are documented and applied.","TODO"
PRD-071,Database,Timescale,P1,High,Storage safety,Compression,Add Timescale compression policies,"Reduce cost of long-term historical storage.",PRD-070,"internal/db/migrations/*","Compression policies exist for aging chunks.","TODO"
PRD-072,Database,Timescale,P1,Medium,Storage safety,Chunk tuning,Tune chunk intervals and partition settings empirically,"Avoid unvalidated one-size-fits-all chunk defaults.",PRD-069,"internal/db/migrations/000004_create_market_data_table.up.sql","Chunk configuration is benchmarked and intentionally set.","TODO"
PRD-073,Database,Connections,P1,Medium,Storage safety,Connection config,Separate connect timeout from connection lifetime settings,"Stop overloading timeout config into pool lifetime behavior.",PRD-033,"internal/db/postgres.go; internal/utils/config.go","DB pool config uses correctly named and applied settings.","TODO"
PRD-074,Database,Security,P1,High,Storage safety,Transport security,Support SSL/TLS for Postgres in non-local environments,"Avoid hardcoded sslmode=disable assumptions.",PRD-073,"internal/db/postgres.go; internal/utils/config.go","Secure DB transport is supported and configurable.","TODO"
PRD-075,Database,Security,P1,Medium,Storage safety,Transport security,Support secure Redis transport options,"Add TLS-capable Redis configuration where appropriate.",PRD-033,"internal/cache/redis.go; internal/utils/config.go","Redis secure transport options are supported and documented.","TODO"
PRD-076,Database,Queries,P2,High,Storage safety,Startup performance,Optimize replay and hydration queries,"Replace broad interval scans with bounded or windowed startup queries.",PRD-053,"internal/data/ingest.go; internal/data/indicators_manager.go","Recovery queries are bounded and performant with retained history.","TODO"
PRD-077,API,Contracts,P1,High,Contract hygiene,REST envelope,Centralize response helper implementation,"Use one shared response writer across server and handler packages.",PRD-034,"internal/server/api_v1.go; internal/api/handlers/auth/helpers.go; internal/api/handlers/profile/me.go","One shared response helper is used everywhere.","TODO"
PRD-078,API,Contracts,P1,High,Contract hygiene,Validation,Return contract-compliant validation errors,"Make validation helper use contracts.ErrorResponse including meta.",PRD-077,"internal/validation/validate.go; internal/contracts/envelope.go","Validation errors follow standard response envelope.","TODO"
PRD-079,API,Contracts,P1,Medium,Contract hygiene,Validation,Reject unknown JSON fields,"Prevent silent client mistakes from slipping through request decoding.",PRD-078,"internal/validation/validate.go","Unknown request fields are rejected with structured error.","TODO"
PRD-080,API,Docs,P1,High,Contract hygiene,Spec drift,Reconcile openapi.yaml with actual implementation,"Treat one spec as source of truth and remove false promises.",PRD-077,"docs/openapi.yaml; internal/server/api_v1.go","Served/documented spec matches real route surface.","TODO"
PRD-081,API,Docs,P1,Medium,Contract hygiene,Served spec,Serve the actual maintained OpenAPI document,"Avoid dual inline and static API specs drifting apart.",PRD-080,"internal/server/api_v1.go; docs/openapi.yaml","Server serves one authoritative OpenAPI contract.","TODO"
PRD-082,API,Versioning,P2,Medium,Contract hygiene,Compatibility policy,Define additive vs breaking change rules for v1,"Set expectations before API and realtime surfaces grow significantly.",PRD-080,"docs/*","Versioning policy is documented and referenced by contributors.","TODO"
PRD-083,Broker,Abstraction,P2,Critical,Trading core,Broker model,Introduce broker-agnostic provider interfaces,"Avoid baking Zerodha assumptions into strategy/execution logic.",PRD-014,"internal/broker/*; internal/api/zerodha.go","Execution and strategy layers depend on broker interfaces, not Zerodha client directly.","TODO"
PRD-084,Broker,Runtime,P2,High,Trading core,Broker model,Bind broker runtime to user and broker_account_id,"Stop exposing one process-wide broker session to all authenticated users.",PRD-083,"internal/api/handlers/broker/*; internal/server/api_v1.go","Broker status and runtime usage are user/account-specific.","TODO"
PRD-085,Broker,Runtime,P3,Medium,Trading core,Broker model,Support broker session refresh and expiry management,"Handle per-account session expiry safely for long-running services.",PRD-084,"internal/broker/*; internal/api/handlers/broker/*","Expired broker sessions are detected and refreshed or disabled safely.","TODO"
PRD-086,Strategy,Core,P2,Critical,Trading core,Strategy runtime,Create strategy registry and interface contracts,"Define strategy loading, parameters, supported modes, and signal contracts.",PRD-033,"internal/strategy/*; internal/services/*","Strategies have explicit interface and registry model.","TODO"
PRD-087,Strategy,Core,P2,High,Trading core,Strategy runtime,Implement strategy runner lifecycle,"Start, stop, pause, and resume strategies through managed runtime controls.",PRD-086,"internal/strategy/*; internal/runtime/*","Strategies are runtime-managed services, not loose goroutines.","TODO"
PRD-088,Strategy,Config,P2,High,Trading core,Strategy config,Implement strategy configuration APIs,"Persist and validate user strategy settings and enable/disable state.",PRD-086,"internal/api/handlers/strategies/*; internal/db/models.go","Users can configure strategies through stable APIs with validation.","TODO"
PRD-089,Strategy,Contracts,P2,Medium,Trading core,Strategy runtime,Ensure strategies consume finalized events only,"Prevent strategies from depending on transport-layer or provisional state.",PRD-049,"internal/strategy/*; internal/contracts/*","Strategies run only on deterministic finalized upstream inputs.","TODO"
PRD-090,Risk,Controls,P2,Critical,Trading core,Risk service,Create risk decision engine,"Centralize checks for market open, limits, exposure, max loss, and allowed mode.",PRD-086,"new internal/risk/*","Execution requests must pass through formal risk decision path.","TODO"
PRD-091,Risk,Controls,P2,High,Trading core,Risk service,Implement global kill switch,"Allow immediate halt of live order placement.",PRD-090,"internal/runtime/*; internal/risk/*; internal/api/handlers/runtime/*","Kill switch blocks live execution immediately.","TODO"
PRD-092,Risk,Controls,P2,High,Trading core,Risk service,Implement per-user daily loss circuit breaker,"Stop trading after configured max daily drawdown.",PRD-090,"internal/risk/*; internal/pnl/*","Users exceeding limit are automatically blocked from new orders.","TODO"
PRD-093,Risk,Controls,P2,High,Trading core,Risk service,Implement max order value and position limits,"Protect against oversized orders and overexposure.",PRD-090,"internal/risk/*","Orders breaching configured limits are rejected with explicit reason.","TODO"
PRD-094,Execution,Core,P2,Critical,Trading core,Execution pipeline,Create TradeIntent model and execution service,"Strategies emit intents; execution translates them into broker or paper actions.",PRD-086,"internal/execution/*; internal/contracts/*","Execution service accepts intents and returns persisted order lifecycle.","TODO"
PRD-095,Execution,Core,P2,Critical,Trading core,Execution pipeline,Add order idempotency model,"Require idempotency key or internally generated equivalent for order creation paths.",PRD-094,"internal/execution/*; internal/db/models.go; docs/openapi.yaml","Duplicate order requests do not create duplicate external actions.","TODO"
PRD-096,Execution,Core,P2,High,Trading core,Execution pipeline,Persist full order lifecycle and broker responses,"Capture request, response, status transitions, and correlation IDs.",PRD-094,"internal/db/models.go; internal/execution/*","Order lifecycle is durably tracked end to end.","TODO"
PRD-097,Execution,Reconciliation,P3,High,Trading core,Execution pipeline,Implement broker reconciliation worker,"Continuously reconcile internal orders/positions with broker truth.",PRD-096,"internal/execution/*; internal/broker/*","Mismatch detection and reconciliation process exists with alerts.","TODO"
PRD-098,PnL,Core,P2,High,Trading core,PnL service,Implement realized and unrealized PnL calculations,"Compute PnL accurately from fills, positions, and marks.",PRD-094,"internal/db/models.go; new internal/pnl/*","PnL service updates values consistently for paper and live modes.","TODO"
PRD-099,PnL,Core,P3,Medium,Trading core,PnL service,Add per-strategy PnL attribution,"Track which strategy contributed to positions and results.",PRD-098,"internal/pnl/*; internal/db/models.go","PnL can be broken down by strategy and user.","TODO"
PRD-100,PaperTrading,Core,P3,High,Trading core,Paper mode,Implement paper broker adapter,"Support safe simulated execution path using same intent and risk pipeline.",PRD-094,"new internal/execution/paper/*","Paper broker can place, fill, and update orders without external broker dependency.","TODO"
PRD-101,PaperTrading,Core,P3,High,Trading core,Paper mode,Implement simulated fill logic fees and slippage,"Support realistic paper fills and cost modeling.",PRD-100,"internal/execution/paper/*; internal/db/extended_models.go","Paper fills include configurable fees and slippage.","TODO"
PRD-102,PaperTrading,Runtime,P3,Medium,Trading core,Paper mode,Default all strategy deployment to paper mode,"Require explicit elevation path before any live execution is allowed.",PRD-100,"internal/runtime/*; internal/strategy/*","Strategies deploy to paper by default unless live mode is explicitly enabled.","TODO"
PRD-103,Backtest,Core,P3,High,Research,Backtest engine,Implement backtest service and command runtime,"Turn placeholder backtest command into real replay-driven backtest runner.",PRD-053,"cmd/backtest/backtest.go; internal/backtest/*","Backtest command submits and runs real jobs using historical data.","TODO"
PRD-104,Backtest,Reuse,P3,High,Research,Backtest engine,Reuse same strategy contracts in backtest and paper mode,"Avoid separate logic paths for live vs offline strategy behavior.",PRD-086,"internal/backtest/*; internal/strategy/*; internal/execution/paper/*","Backtests execute through shared strategy contracts.","TODO"
PRD-105,Backtest,Storage,P3,Medium,Research,Backtest engine,Persist trades equity curve and job artifacts,"Use existing schema for job results and artifacts.",PRD-103,"internal/db/extended_models.go; internal/db/migrations/000014_create_backtest_jobs_table.up.sql","Backtest results are queryable and reproducible.","TODO"
PRD-106,Cleanup,Structure,P1,Medium,Repo hygiene,File naming,Rename candels.go to candles.go,"Fix naming inconsistency in core candle engine file.",PRD-033,"internal/data/candels.go","Core candle file name is corrected without behavior change.","TODO"
PRD-107,Cleanup,Structure,P1,Medium,Repo hygiene,Package naming,Rename monitor package under internal/execution,"Align package name with directory purpose and future ownership.",PRD-033,"internal/execution/order.go; internal/execution/monitor.go","Execution directory uses package execution, not monitor.","TODO"
PRD-108,Cleanup,Placeholders,P1,Medium,Repo hygiene,Repo simplification,Collapse placeholder strategy files,"Remove misleading one-line strategy files until real code exists or replace with real interfaces.",PRD-086,"internal/strategy/*","Strategy package no longer consists of empty placeholder files.","TODO"
PRD-109,Cleanup,Placeholders,P1,Medium,Repo hygiene,Repo simplification,Collapse placeholder model files,"Reduce empty inference/trainer placeholders until real model architecture is implemented.",PRD-033,"internal/model/inference.go; internal/model/trainer.go","Placeholder model files are replaced by intentional package docs or real code.","TODO"
PRD-110,Cleanup,Placeholders,P1,Medium,Repo hygiene,Repo simplification,Archive or delete commented-out news pipeline,"Stop carrying fully commented subsystem in active runtime tree.",PRD-033,"internal/data/news_pipeline.go","Commented-out news pipeline is either restored properly or removed from active tree.","TODO"
PRD-111,Cleanup,Placeholders,P2,Low,Repo hygiene,Repo simplification,Prune doc-only placeholder packages not ready for implementation,"Reduce false architectural surface area where no code ownership exists yet.",PRD-033,"internal/backtest/*; internal/broker/*; internal/events/*; internal/jobs/*; internal/market/*; internal/notifications/*; internal/realtime/*; internal/services/*; internal/settings/*; internal/telemetry/*","Placeholder package set is intentionally minimal and accurate.","TODO"
PRD-112,Observability,Metrics,P2,High,Operations,Metrics,Expose queue depth drop and lag metrics,"Track ingest queues, replay lag, WS queue depth, and indicator throughput.",PRD-043,"internal/data/*; internal/realtime/*; internal/telemetry/*","Metrics expose queue depths, drop counts, and lag indicators.","TODO"
PRD-113,Observability,Metrics,P2,Medium,Operations,Metrics,Expose service readiness and degraded-state metrics,"Make runtime health visible at service granularity.",PRD-036,"internal/runtime/*; internal/telemetry/*","Runtime metrics show per-service health and readiness.","TODO"
PRD-114,Observability,Logging,P2,Medium,Operations,Logging,Standardize structured log fields across services,"Use consistent request, event, user, instrument, and service fields.",PRD-033,"internal/utils/logger.go; internal/*","Logs share stable structured field vocabulary.","TODO"
