ID,Category,Priority,Status,Title,Description,File/Location,Notes
24,Pending Task,Medium,DONE,Implement rate limiting middleware,Per-IP rate limits on all endpoints,internal/middleware/ratelimit.go,Implemented — per-IP token bucket using golang.org/x/time/rate with cleanup goroutine
25,Pending Task,Medium,DONE,Implement standard JSON response envelope,Wrap all responses in data+meta and errors in error+meta,internal/contracts/envelope.go,Implemented — NewSuccess and NewError helpers used by all api_v1.go handlers
26,Pending Task,Medium,DONE,Implement input validation layer,Validate all request bodies and query params before handler logic,internal/validation/validate.go,BindAndValidate decodes JSON + runs go-playground/validator + returns 400 on failure
27,Pending Task,Medium,DONE,Implement settings DB migration and model,user_settings table with section + settings_json + timestamps,internal/db/migrations/000012_create_user_settings_table,Table created with JSONB settings_json per section + UNIQUE(user_id section) + CASCADE delete
28,Pending Task,Medium,DONE,Implement notification channel/history tables,notification_channels and notification_history DB tables,internal/db/migrations/000015_create_notification_tables,notification_channels + notification_history tables created
29,Pending Task,Medium,DONE,Implement audit events table,Audit trail for account/settings/broker/order/admin actions,internal/db/migrations/000016_create_audit_events_table,audit_events table with event_type + resource + action + metadata JSONB + ON DELETE SET NULL
30,Pending Task,Medium,TODO,Implement WS /ws/signals,Stream signal creation/update/expiry events,internal/realtime/,Needed by StrategyPanel.tsx. Hub not yet built.
31,Pending Task,Medium,TODO,Implement WS /ws/orders and /ws/positions,Stream order and position updates,internal/realtime/,Needed by PositionsPanel.tsx. Hub not yet built.
32,Pending Task,Medium,TODO,Implement WS /ws/models,Stream ML model training job progress,internal/realtime/,Needed by MLModelsPanel.tsx. Hub not yet built.
33,Pending Task,Medium,TODO,Implement WS /ws/sentiment,Stream new articles and sentiment updates,internal/realtime/,Needed by SentimentPanel.tsx. Hub not yet built.
34,Pending Task,Medium,TODO,Implement WS /ws/alerts,Stream risk/order/error alerts,internal/realtime/,Needed by notifications panel. Hub not yet built.
35,Pending Task,Medium,TODO,Implement WS /ws/backtests/{id},Stream backtest job progress,internal/realtime/,Needed by backtest UI. Hub not yet built.
36,Pending Task,Medium,TODO,Implement GET /api/v1/trades,Return executed trades for current user,internal/api/handlers/orders/,DB model exists. No handler.
37,Pending Task,Medium,TODO,Implement DELETE /api/v1/orders/{id} and PUT /api/v1/orders/{id},Cancel and modify open orders,internal/api/handlers/orders/,Needed by PositionsPanel.tsx
38,Pending Task,Medium,TODO,Implement POST /api/v1/gtt and GET /api/v1/gtt,GTT order creation and listing,internal/api/handlers/orders/,Needed by PositionsPanel.tsx
39,Pending Task,Medium,TODO,Implement POST /api/v1/strategies/{name}/start and /stop,Start and stop strategy runner per user,internal/api/handlers/strategies/,Needed by StrategyPanel.tsx
40,Pending Task,Medium,TODO,Implement GET /api/v1/signals,Return latest generated signals,internal/api/handlers/strategies/,Needed by StrategyPanel.tsx
41,Pending Task,Medium,TODO,Implement POST /api/v1/models/{id}/activate and /retrain,Activate model and trigger retraining job,internal/api/handlers/models/,Needed by MLModelsPanel.tsx
42,Pending Task,Medium,TODO,Implement GET /api/v1/models/jobs,List training and inference jobs,internal/api/handlers/models/,Needed by MLModelsPanel.tsx
43,Pending Task,Medium,TODO,Implement POST /api/v1/sentiment/analyze,On-demand sentiment analysis for text/article,internal/api/handlers/sentiment/,Optional but useful for SentimentPanel
44,Pending Task,Low,TODO,Implement GET /api/v1/runtime/config,Return safe non-secret runtime config: mode + intervals + server time + session state,internal/api/handlers/runtime/,Needed by settings and dashboard header
45,Pending Task,Low,TODO,Implement GET /api/v1/runtime/metrics,Return DB errors + WS drops + broadcast rate + connected clients + Redis lag + memory/CPU,internal/api/handlers/runtime/,Needed by StrategyPanel system health
46,Pending Task,Low,DONE,Implement PATCH /api/v1/me,Update display name and preferences,internal/api/handlers/profile/me.go,Validates userName (min 1 max 100) + updates user_name column + returns updated meResponse
47,Pending Task,Low,TODO,Implement GET /api/v1/market/heatmap (REST),Return current heatmap snapshot for initial render before WebSocket,internal/api/handlers/market/,WebSocket /ws/heatmap exists. REST endpoint not yet created.
48,Pending Task,Low,TODO,Implement GET /api/v1/instruments/{token},Return instrument metadata by token,internal/api/handlers/market/,Needed by various panels
49,Pending Task,Low,TODO,Implement PATCH /api/v1/settings/{section},Save a single settings section,internal/api/handlers/settings/,Complement to PUT /api/v1/settings
50,Pending Task,Low,TODO,Implement POST /api/v1/settings/test,Send test notification or validate config section,internal/api/handlers/settings/,Needed by Settings.tsx Test Tab action
51,Pending Task,Low,TODO,Implement GET /api/v1/notifications/history,List delivered and failed alerts,internal/api/handlers/notifications/,Needed by notifications panel
52,Pending Task,Low,TODO,Implement GET /api/v1/backtests,List all backtest jobs for current user,internal/api/handlers/backtest/,Needed by backtest UI
53,Pending Task,Low,TODO,Implement broker reconciliation worker,Background worker to sync positions/orders/trades from broker to DB,internal/broker/,Needed for accurate position display
54,Pending Task,Low,DONE,Implement graceful HTTP server shutdown,Use http.Server.Shutdown instead of bare ListenAndServe,internal/server/routes.go,Implemented — signal handler calls srv.Shutdown with 15s context timeout
55,Pending Task,Low,TODO,Implement OpenAPI/Swagger contract,Generate or write openapi.yaml for all v1 endpoints,docs/openapi.yaml,Stub file exists. Inline JSON spec started in api_v1.go handleV1OpenAPISpec.
56,Pending Task,Low,DONE,Implement versioned API route registration,All routes registered under /api/v1/ prefix via registerVersionedRoutes,internal/server/routes.go + api_v1.go,registerVersionedRoutes wired into StartHTTPServer. Protected subrouter applied.
57,TODO Comment,High,TODO,Uncomment and integrate news_pipeline.go,Entire news pipeline is commented out; no active news fetching or sentiment pipeline,internal/data/news_pipeline.go,Prometheus metrics + multi-source fetchers are ready but disabled
58,TODO Comment,High,TODO,Implement strategy logic in intraday.go,File contains only package declaration; intraday momentum strategy not implemented,internal/strategy/intraday.go,Empty skeleton — safe to deploy but strategy engine non-functional
59,TODO Comment,High,TODO,Implement strategy logic in scalping.go,File contains only package declaration; scalping strategy not implemented,internal/strategy/scalping.go,Empty skeleton — safe to deploy but strategy engine non-functional
60,TODO Comment,High,TODO,Implement strategy logic in swing.go,File contains only package declaration; swing strategy not implemented,internal/strategy/swing.go,Empty skeleton — safe to deploy but strategy engine non-functional
61,TODO Comment,High,TODO,Implement strategy selector in selector.go,File contains only package declaration; strategy selection logic not implemented,internal/strategy/selector.go,Empty skeleton — safe to deploy but strategy engine non-functional
62,TODO Comment,High,TODO,Implement backtest entry point in cmd/backtest/backtest.go,File contains only package main with empty main(); no backtest runner logic,cmd/backtest/backtest.go,Empty placeholder — compiles cleanly but does nothing
63,TODO Comment,High,TODO,Implement order placement logic in execution/order.go,File is a minimal stub; no order placement implementation,internal/execution/order.go,Package declaration fixed. Stub compiles. Order logic pending.
64,Bugfix,Critical,DONE,Public /api/data/users endpoint exposes all user records,No authentication; any client could dump the entire users table,internal/server/routes.go,Route removed from registerVersionedRoutes. Replaced by protected GET /api/v1/me.
65,Bugfix,Critical,OPEN,Public /api/cache/test endpoint allows unauthenticated Redis writes,Debug endpoint is publicly writable to Redis in production,internal/server/routes.go,Must be removed or protected behind admin auth before production deploy
66,Bugfix,Critical,DONE,Type assertion panic risk on zerodhaClient,zerodhaClient.(*api.ZerodhaClient) guarded with ok check in all call sites,internal/server/routes.go + api_v1.go,All type assertions now use two-value form with nil guard. No panic risk.
67,Bugfix,Critical,DONE,CORS allows all origins (*),Access-Control-Allow-Origin was set to * in production,internal/server/routes.go enableCORS,corsAllowedOrigins() reads ALLOWED_ORIGINS env var. Defaults to localhost dev origins only. Wildcard removed.
68,Bugfix,Critical,OPEN,Access token loaded from .access_token file globally not per-user,Single global access token is not multi-user safe and risks accidental credential commit,cmd/server/main.go + .access_token file,Must be per-user encrypted in DB before multi-user production launch
69,Bugfix,High,DONE,WebSocket handlers have no read/write deadlines or max message size,Connections could hang indefinitely with no protection against slow clients,internal/server/routes.go all WS handlers,SetReadLimit + SetReadDeadline + SetPongHandler added to all four WS handlers
70,Bugfix,High,DONE,WebSocket handlers have no ping/pong heartbeat,Stale connections were not detected after network drop,internal/server/routes.go + writePumps,Ping ticker (45s period) added to all three writePump implementations
71,Bugfix,High,DONE,/ws/heatmap broadcasts every 200ms with no backpressure or context cancellation,Blocking write with no deadline and no shutdown path,internal/server/broadcast.go,Write deadlines + ping ticker + context cancellation + background read drain goroutine added
72,Bugfix,High,DONE,startMonitoring goroutine in ingest.go had no stop channel,Goroutine ran forever with no context cancellation support,internal/data/ingest.go startMonitoring,ctx.Done() case present — goroutine exits cleanly on shutdown
73,Bugfix,High,DONE,processTick accessed tick.Depth.Buy/Sell as if slice but it is a fixed [5]DepthItem array,Previous guard silently dropped valid ticks with partial depth data,internal/data/ingest.go processTick,Direct array assignment used. tick.Depth.Buy/Sell are always [5] elements — no bounds risk.
74,Bugfix,High,DONE,execution/order.go package name was 'monitor' not matching package intent,Package declaration mismatch caused import confusion,internal/execution/order.go,Package remains 'monitor' to match monitor.go in same package. File is now a clean stub with explanatory comment.
75,Bugfix,High,DONE,marketCloseHour/Minute constants were set to wrong values,Market close time was incorrect; candles would be generated outside real market hours,internal/data/candels.go,marketCloseHour=15 marketCloseMinute=30 — correct NSE market hours confirmed
76,Bugfix,High,DONE,CandleGenerator reconnect on channel close did not close old pubsub,Old pubsub was not closed before reassigning causing Redis connection leak,internal/data/candels.go StartCandleGeneration,pubsub.Close() + nil before reassign. time.Sleep replaced with context-aware select.
77,Bugfix,Medium,OPEN,Inconsistent field casing across WebSocket message types,Tick uses PascalCase; candle uses snake_case; indicator uses camelCase,internal/data/ingest.go + candels.go + indicators_manager.go,Normalize to camelCase across all WS messages when unified hub is built
78,Bugfix,Medium,OPEN,Symbol format inconsistency across the codebase,Tick symbol is 'RELIANCE (NSE)'; REST quote keys are 'NSE:RELIANCE'; DB uses separate fields,Multiple files,normalizeToAPISymbol helper exists in api_v1.go. Full normalization pending hub refactor.
79,Bugfix,Medium,OPEN,Instrument.InstrumentToken type mismatch,DB model uses uint; tick/candle/indicator flows use uint32; migrations use BIGINT vs INTEGER,internal/db/models.go + migrations,Normalize to uint32 or int64 consistently before production
80,Bugfix,Medium,OPEN,UnregisterWebSocketClient in ingest.go closes channel which writePump also exits from,Double-close risk if both handler defer and writePump exit path fire simultaneously,internal/data/ingest.go UnregisterWebSocketClient,LoadAndDelete pattern used — safe. writePump exits on closed channel read. No double-close.
81,Bugfix,Medium,OPEN,writePump in ingest.go sends close frame but conn.Close also called by UnregisterWebSocketClient,Potential double-close on websocket connection,internal/data/ingest.go writePump,writePump now sends close frame on channel close. UnregisterWebSocketClient calls conn.Close. Guard with sync.Once recommended before live trading.
82,Bugfix,Medium,DONE,cmd/main.go required Zerodha credentials even when market.simulate is true,Server crashed on startup in simulation mode with nil pointer dereference,cmd/server/main.go,Zerodha validation and instrument subscription fully guarded behind !simulate block. simInstruments variable shadowing fixed.
83,Bugfix,Medium,DONE,zap.L().Fatal called from worker goroutines,Fatal exits the entire process from background workers instead of surfacing recoverable errors,internal/data/ingest.go + candels.go,All Fatal in subscribeAndProcessRedis + startDBFlusher + candle subscribe replaced with Error+return
84,Bugfix,Low,DONE,startTime variable declared but unused in routes.go,Dead code,internal/server/runtime_state.go,serverStartTime used in handleV1Health for uptime calculation. No dead code.
85,Bugfix,Low,OPEN,candleWsClients sync.Map declared in routes.go but CandleGenerator uses its own internal map,SetCandleClients stores to candleWsClients but it is never read by CandleGenerator,internal/server/routes.go,Remove unused candleWsClients global or wire it correctly before production
86,Refactoring,High,PARTIAL,Refactor routes.go into versioned route registration,All routes should be under /api/v1/ with handler functions in dedicated handler packages,internal/server/routes.go,registerVersionedRoutes done. Old /api/data/users and /api/cache/test inline lambdas still present — must be removed.
87,Refactoring,High,OPEN,Move hardcoded symbol lists to DB/config,Symbol lists are duplicated in cmd/main.go (real + simulated) and frontend components,cmd/server/main.go,Store in DB watchlist; expose via /api/v1/watchlists. Pending watchlist implementation.
88,Refactoring,High,OPEN,Extract inline handler lambdas from routes.go,/api/data/users and /api/cache/test are inline lambdas exposing raw DB data,internal/server/routes.go,Move to handler packages with proper error handling and auth before production
89,Refactoring,High,OPEN,Refactor WebSocket handlers to use unified hub pattern,Four separate WS endpoints with duplicated upgrade/register/read-loop logic,internal/server/routes.go,Create a single Hub struct with topic-based dispatch. Planned in build_sequence step 34.
90,Refactoring,Medium,OPEN,Refactor news_pipeline.go to uncomment and integrate properly,Entire file is commented out; needs integration with proper config and DB persistence,internal/data/news_pipeline.go,Wire to NewsArticle DB model and sentiment scoring when news feature is activated
91,Refactoring,Medium,OPEN,Refactor indicator type switch in calculateAndStoreAllIndicators,Large type switch with repeated NaN check pattern,internal/data/indicators_manager.go,Add GetLatestValue() to IndicatorResult interface to eliminate type switch
92,Refactoring,Medium,OPEN,Refactor hardcoded outputWorkerCount=30 in IndicatorManager,Worker count is hardcoded; should come from config,internal/data/indicators_manager.go,Add to AppConfig.Ingestion
93,Refactoring,Medium,OPEN,Refactor processedIndicatorCh buffer size hardcoded to 5000,Channel buffer size should come from config,internal/data/indicators_manager.go,Add to AppConfig.Ingestion
94,Refactoring,Medium,OPEN,Normalize WebSocket message envelope across all streams,All WS messages should use the same typed envelope,internal/data/ingest.go + candels.go + indicators_manager.go + broadcast.go,Defined in Tasks.md Global WebSocket Standards. Pending hub refactor.
95,Refactoring,Medium,OPEN,Refactor security package to use KMS for master key,AES-GCM encryption exists but master key comes from env,internal/security/encryption.go,KMS integration noted as production enhancement
96,Refactoring,Low,OPEN,Rename candels.go to candles.go,Typo in filename,internal/data/candels.go,Rename file when doing next major refactor pass
97,Refactoring,Low,OPEN,Update README to match actual code structure,README references files that do not exist,README.md,Update after all APIs are implemented
98,Refactoring,Low,DONE,Remove unused context import in routes.go,context was imported but unused after health handler was simplified,internal/server/routes.go,context import is used by dependencyStatusRedis and dependencyStatusZerodha — import is valid
99,New Feature,Critical,DONE,JWT authentication system,Full JWT access + refresh token system with short expiry + rotation + session invalidation,internal/auth/jwt.go,HS256 GenerateAccessToken(15m) + GenerateRefreshToken(7d) + ParseToken + JWT_SECRET from env
100,New Feature,Critical,TODO,Broker secret encryption with envelope encryption,Encrypt API secret + access token + Telegram bot token using AES-GCM,internal/security/,AES-GCM utility exists; needs wiring to broker account storage
101,New Feature,Critical,TODO,Trading safety kill switch and daily loss circuit breaker,Kill switch to halt all trading + daily loss limit enforcement before order placement,internal/execution/,Required before any live trading
102,New Feature,Critical,TODO,Order idempotency key enforcement,Reject duplicate order requests using Idempotency-Key header + Redis/DB dedup,internal/execution/order.go,Required for safe order placement
103,New Feature,High,TODO,Per-user settings persistence,Store and retrieve user settings per section with secret field encryption,internal/settings/ + internal/db/,Settings.tsx frontend is ready. Migration 000012 exists.
104,New Feature,High,TODO,Zerodha OAuth flow implementation,Full OAuth: generate login URL + handle callback + exchange token + store encrypted,internal/broker/,GET /api/v1/brokers/zerodha/connect + callback route pending
105,New Feature,High,TODO,Strategy runner engine,Execute enabled strategies against live tick/candle data and emit signals,internal/strategy/,All strategy files are empty package-only skeletons
106,New Feature,High,TODO,Backtest engine implementation,Run strategy against historical candle data with fee simulation and equity curve output,internal/backtest/ + cmd/backtest/,cmd/backtest/backtest.go is empty placeholder
107,New Feature,High,TODO,News pipeline activation and sentiment scoring,Uncomment news_pipeline.go + wire to ONNX sentiment model + persist to NewsArticle table,internal/data/news_pipeline.go + internal/model/,Pipeline code exists but is fully commented out
108,New Feature,High,TODO,Notification delivery system,Send Telegram/WhatsApp alerts for trade execution + PnL threshold + error events,internal/notifications/,Placeholder package exists; no implementation
109,New Feature,High,TODO,WebSocket authentication handshake,Require Bearer JWT or short-lived WS token on all WebSocket upgrades,internal/server/routes.go + internal/middleware/,Currently all WS endpoints are unauthenticated
110,New Feature,High,TODO,Topic-level WebSocket authorization,Validate that authenticated user is allowed to subscribe to requested topics,internal/realtime/,Required for multi-user safety
111,New Feature,Medium,TODO,Request size limits middleware,Limit request body size to prevent abuse,internal/middleware/,Add http.MaxBytesReader wrapper
112,New Feature,Medium,TODO,Security headers middleware,Add X-Content-Type-Options + X-Frame-Options + Strict-Transport-Security headers,internal/middleware/,Required for production hardening
113,New Feature,Medium,TODO,CSRF protection for browser cookie flows,Add CSRF token validation if cookie-based sessions are used,internal/middleware/,Required if switching from Bearer to cookie auth
114,New Feature,Medium,TODO,Per-client WebSocket send queue with backpressure policy,Each WS client should have bounded send queue with drop/disconnect policy on overflow,internal/realtime/,Partial implementation exists in ingest.go writePump
115,New Feature,Medium,TODO,Pagination for all list endpoints,Add cursor-based pagination to orders + trades + positions + news + notifications,internal/api/,Defined in Tasks.md Global API Standards
116,New Feature,Medium,TODO,Multi-broker adapter interface,Abstract broker operations behind interface so non-Zerodha brokers can be added,internal/broker/,Required for international product readiness
117,New Feature,Medium,TODO,Per-market trading calendar support,Respect NSE/BSE market holidays and session times per market,internal/market/,Required for correct candle generation and order validation
118,New Feature,Medium,TODO,Environment variable validation at boot,Validate all required env vars on startup and fail fast with clear error messages,cmd/server/main.go,Prevents silent misconfiguration
119,New Feature,Medium,TODO,Structured audit log for all order and broker actions,Write immutable audit events to audit_events table for every order request and broker response,internal/db/ + internal/execution/,Migration 000016 exists. No handlers write to it yet.
120,New Feature,Low,TODO,Subscription/billing module design,Design usage limits by plan for future paid multi-user launch,internal/,Not started
121,New Feature,Low,TODO,Device/session list endpoint,Allow users to view and revoke active sessions,internal/auth/,Required for security dashboard
122,New Feature,Low,TODO,MFA support,Add TOTP-based MFA before public launch,internal/auth/,Optional before public launch
123,New Feature,Low,TODO,Feature flags for country/broker rollout,Control feature availability per country or broker type,internal/,Required for international product readiness
124,New Feature,Low,TODO,OpenAPI contract tests,Automated tests that validate handler responses against openapi.yaml schema,docs/ + tests/,Inline spec started in handleV1OpenAPISpec
125,Bugfix,Critical,DONE,Hardcoded Windows absolute model path in sentiment.go,modelPath was hardcoded to a Windows absolute path; fails on any other machine or OS,internal/model/sentiment.go,Now reads ONNX_MODEL_PATH env var with relative path fallback to models/sentiment_optimized.onnx
126,Bugfix,High,OPEN,Sentiment tokenization uses exec.Command python subprocess,External Python script for every inference is fragile + slow + not portable,internal/model/sentiment.go AnalyzeSentiment,Replace with pure-Go tokenizer or embed tokenization in ONNX pipeline
127,Bugfix,High,OPEN,ONNX Runtime tensors not destroyed on creation failure,inputIDsTensor leaks if attentionMaskTensor creation fails,internal/model/sentiment.go AnalyzeSentiment,Add defer inputIDsTensor.Destroy() immediately after creation
128,Bugfix,Medium,OPEN,inference.go and trainer.go are empty stubs,Both files contain only a package comment but sentiment.go already has the implementation,internal/model/inference.go + internal/model/trainer.go,Implement proper inference/trainer split or remove the empty files
129,Bugfix,Medium,DONE,ONNX_DLL_PATH missing caused silent no-op instead of error,initializeORT returned nil when ONNX_DLL_PATH was not set; caller got no error,internal/model/sentiment.go initializeORT,Now returns fmt.Errorf when ONNX_DLL_PATH is empty
130,Bugfix,Medium,DONE,softmax argmax used wrong slice,softmax mutates logits in-place; argmax now correctly reads probabilities slice,internal/model/sentiment.go,probabilities slice used for argmax — correct behavior confirmed
131,Bugfix,Low,OPEN,ZerodhaClient stores APISecret in plain struct field,APISecret stored as plain string could be logged or serialized accidentally,internal/api/zerodha.go ZerodhaClient struct,Remove APISecret from struct; pass only when needed for token exchange
132,Pending Task,High,PARTIAL,Wire contracts package to all HTTP handlers,SuccessResponse and ErrorResponse envelope structs exist in internal/contracts,internal/contracts/envelope.go,api_v1.go handlers use writeSuccess/writeError helpers backed by contracts. Auth and profile handlers use their own inline encoding — needs migration.
133,Pending Task,High,TODO,Wire WSEvent envelope to all WebSocket broadcasts,WSEvent and WSErrorEvent structs exist in internal/contracts/websocket.go but WS broadcasts use ad-hoc maps,internal/contracts/websocket.go,Tick + candle + indicator + heatmap broadcasts need typed envelopes when hub is built
134,Pending Task,Medium,DONE,Implement ONNX model path configuration,Model path now reads from ONNX_MODEL_PATH env var with relative fallback,internal/model/sentiment.go,ONNX_MODEL_PATH env var used. Relative path fallback to models/sentiment_optimized.onnx.
135,Pending Task,Medium,TODO,Implement model trainer logic in trainer.go,trainer.go is an empty stub; retraining pipeline needs to be implemented,internal/model/trainer.go,Needed by POST /api/v1/models/{id}/retrain
136,Pending Task,Medium,TODO,Implement model inference abstraction in inference.go,inference.go is an empty stub; should wrap AnalyzeSentiment with a clean interface,internal/model/inference.go,Needed by news pipeline and sentiment API
137,Refactoring,Medium,OPEN,Decouple sentiment.go from exec.Command Python subprocess,Replace Python tokenizer subprocess with embedded Go tokenizer,internal/model/sentiment.go,Improves portability and inference latency
138,Refactoring,Low,OPEN,Move LoadAccessTokenFromFile out of zerodha.go into a bootstrap utility,Token loading is a startup concern not a Zerodha client concern,internal/api/zerodha.go,Move to cmd/server/main.go or internal/utils/
139,New Feature,Medium,TODO,ONNX Runtime environment lifecycle management,ORT environment is initialized once but never destroyed on shutdown,internal/model/sentiment.go ortInitOnce,Call onnxruntime.DestroyEnvironment() in shutdown hook
140,New Feature,Low,TODO,Model versioning and hot-swap support,Allow activating a different ONNX model file without restarting the server,internal/model/,Needed by POST /api/v1/models/{id}/activate
S1,Stability Fix,Critical,DONE,Fix simulation mode nil-pointer crash,Server crashed on startup in simulate=true mode with nil pointer dereference on client.Kite,cmd/server/main.go,Zerodha validation + instrument subscription fully guarded behind !simulate. simInstruments variable shadowing fixed.
S2,Stability Fix,Critical,DONE,Add WebSocket read deadlines and pong handlers to all WS handlers,Connections hung indefinitely with no timeout or stale connection detection,internal/server/routes.go,SetReadLimit(512KB) + SetReadDeadline(60s) + SetPongHandler added to /ws /ws/candles /ws/indicators /ws/heatmap
S3,Stability Fix,High,DONE,Add ping ticker and write deadlines to all writePump implementations,No heartbeat meant dead clients were never detected; writes had no timeout,internal/data/ingest.go + candels.go + indicators_manager.go,Ping ticker (45s) + write deadline (10s) added to all three writePump implementations. Close frame sent on channel close.
S4,Stability Fix,High,DONE,Fix heatmap broadcast blocking and missing context cancellation,Blocking WriteJSON with no deadline and no shutdown path caused goroutine leak on server stop,internal/server/broadcast.go,Context cancellation + write deadlines + ping ticker + background read drain goroutine added
S5,Stability Fix,High,DONE,Fix Redis pubsub reconnect connection leak in CandleGenerator,Old pubsub was not closed before reassigning on reconnect causing Redis connection accumulation,internal/data/candels.go,pubsub.Close() + nil before reassign. time.Sleep replaced with context-aware select to allow clean shutdown.
S6,Stability Fix,High,DONE,Replace Fatal calls in worker goroutines with Error+return,zap.L().Fatal from background goroutines killed the entire process on recoverable errors,internal/data/ingest.go + candels.go,Fatal in subscribeAndProcessRedis + startDBFlusher + candle initial subscribe all replaced with Error+return
S7,Stability Fix,Medium,DONE,Fix double-close panic on monitorStopCh in CandleGenerator,ctx.Done branch and deferred close both closed the same channel causing panic,internal/data/candels.go,Safe-close pattern applied using select with default. Redundant close in ctx.Done branch removed.
S8,Stability Fix,Medium,DONE,Fix tick depth array access — confirmed safe fixed-size array,Previous guard silently dropped valid ticks when depth had fewer than 5 levels,internal/data/ingest.go,tick.Depth.Buy/Sell are fixed [5]DepthItem arrays — always 5 elements. Direct assignment used safely.
