"TaskID","Week","WeekLabel","Phase","Priority","Status","Category","Title","Description","Files","DependsOn","EstimatedHours","Notes"
"SEC-006","2","P0 Crash Fixes","P0","Critical","TODO","Security","Rotate all credentials committed to Git — Zerodha, Redis, JWT, encryption key","LIVE CREDENTIALS IN REPO. The following secrets are committed in .env and .access_token and must be treated as compromised:\n  1. ZERODHA_API_KEY=n19aa6q80bsefmmm\n  2. ZERODHA_API_SECRET=f7aqjn83wlhp01uaaw77qzui6qtii1tl\n  3. Redis Cloud URL with password (redis-15547.c240.us-east-1-3)\n  4. JWT_SECRET (32-byte hex in .env)\n  5. .access_token file contains a live bearer token\n  6. MARKETAUX_API_KEY and NEWS_API_KEY\n  7. DATA_ENCRYPTION_KEY is a placeholder string, not a secure key\n\nIMMEDIATE ACTIONS:\n  1. Revoke/regenerate Zerodha API credentials at kite.trade developer console\n  2. Rotate Redis Cloud password\n  3. Generate new JWT_SECRET: openssl rand -hex 32\n  4. Generate new AES-256 encryption key: openssl rand -base64 32\n  5. Run: git rm --cached .env .access_token\n  6. Verify .gitignore includes: .env, .access_token, *.key, secrets/\n  7. Use git-filter-repo or BFG to purge from history if repo is shared\n  8. Add pre-commit hook (gitleaks or trufflehog) to prevent future leaks\n\nLONGER TERM:\n  - Move all secrets to environment variables injected at runtime\n  - Never commit .env to any branch\n  - Use .env.example with placeholder values only",".env | .access_token | .gitignore","","2","P0. Do this before pushing any code. Treat all listed credentials as compromised."
"SEC-007","2","P0 Crash Fixes","P0","Critical","TODO","Security","Replace placeholder DATA_ENCRYPTION_KEY with properly generated AES-256 key","WEAK ENCRYPTION. .env line 50:\n  DATA_ENCRYPTION_KEY=\"a_very_strong_32_byte_key_for_encryption\"\n\nThis is not a cryptographically random key. It is 40 ASCII characters (not 32 bytes when base64-decoded as the Encryptor expects). NewEncryptor will reject it with ErrInvalidEncryptionKey.\n\nFIX:\n1. Generate a proper 32-byte random key:\n   openssl rand -base64 32\n   (produces 44-char base64 string that decodes to exactly 32 bytes)\n\n2. Set in .env (locally, never commit):\n   TRADINGBOT_ENCRYPTION_KEY=<output_from_above>\n\n3. Note: the env var name in code is TRADINGBOT_ENCRYPTION_KEY (security/encryption.go:EncryptionKeyEnv) but .env uses DATA_ENCRYPTION_KEY — fix the mismatch; update .env to use the canonical name TRADINGBOT_ENCRYPTION_KEY.\n\n4. Update .env.example with:\n   TRADINGBOT_ENCRYPTION_KEY=<generate_with_openssl_rand_-base64_32>",".env | internal/security/encryption.go","SEC-006","1","Encryption is non-functional until this is fixed."
"PERF-009","4","Performance Optimizations","P1","High","TODO","TickBus","Copy subscriber slice under RLock before iterate — fix lock contention","LOCK CONTENTION. InProcessTickBus.Publish holds mu.RLock() for the entire publish loop. Any concurrent Subscribe() call that needs mu.Lock() is blocked for the duration of all channel sends.\n\nUnder 10 instruments × 8x sim = 80 publishes/sec × 2 subscribers, the lock is held almost continuously, starving new subscribers.\n\nFIX:\n  func (b *InProcessTickBus) Publish(...) error {\n      b.mu.RLock()\n      subs := make([]chan NormalizedTick, len(b.subscribers))\n      copy(subs, b.subscribers)\n      b.mu.RUnlock()  // release before channel ops\n      for _, ch := range subs {\n          select {\n          case ch <- tick:\n          default: atomic.AddUint64(&b.droppedTicks, 1)\n          }\n      }\n      return nil\n  }","internal/marketdata/tickbus/inprocess.go","FIX-001","1","Depends on FIX-001. Do them together."
"PERF-010","4","Performance Optimizations","P1","High","TODO","Ingestor","Eliminate interface{} type switch in processTick safeDepthItem — use typed array directly","UNNECESSARY REFLECTION ON EVERY TICK. ingest.go safeDepthItem:\n  func safeDepthItem(depthArray interface{}, idx int) ...\n  switch d := depthArray.(type) { case [5]kitemodels.DepthItem: ... }\n\nThis allocates an interface{} and does a type switch on every depth level read (10 levels × N ticks per second). The Depth field is always a fixed `[5]kitemodels.DepthItem` array — the type switch is unnecessary.\n\nFIX:\n  Replace the helper function with direct indexed access:\n  bid1Price := tick.Depth.Buy[0].Price\n  bid1Qty   := uint32(tick.Depth.Buy[0].Quantity)\n  bid1Orders := uint32(tick.Depth.Buy[0].Orders)\n  // ... repeat for all 5 levels\n\n  The Depth arrays are guaranteed length 5 by kitemodels.Depth struct definition — no bounds check needed.\n\nAlso remove the redundant depth-empty warning log that fires on every ModeLTP tick (expected behavior, not a warning):\n  if buyDepth[0].Price == 0 && sellDepth[0].Price == 0 { zap.Warn(...) }\n  // Move to DEBUG or rate-limit to 1/min per symbol","internal/data/ingest.go","","2","High frequency path. Eliminates interface{} allocation on every tick."
"PERF-011","4","Performance Optimizations","P1","High","TODO","CandleEngine","Use sync.Pool for OpenCandle and indicators.Candle to reduce GC pressure","HIGH ALLOCATION RATE. handleFinalizedCandle (candles.go) allocates a new db.OHLCVCandle and indicators.Candle on every finalized candle. With 9 intervals × N instruments × frequent finalizations, this creates GC pressure.\n\nFIX:\n1. Add a package-level sync.Pool for db.OHLCVCandle in candles.go:\n   var ohlcvPool = sync.Pool{\n       New: func() interface{} { return &db.OHLCVCandle{} },\n   }\n\n2. In handleFinalizedCandle:\n   ohlcv := ohlcvPool.Get().(*db.OHLCVCandle)\n   *ohlcv = db.OHLCVCandle{...}  // assign fields\n   select { case cg.candleDBFlushCh <- *ohlcv: }\n   ohlcvPool.Put(ohlcv)\n\n3. Similar pool for indicators.Candle passed to indicatorManagerInputCh.\n\n4. Also: replace the anonymous broadcast struct in broadcastCandle with a named type to avoid per-call struct layout computation.","internal/data/candles.go","FIX-004","3","Reduces GC pauses during high-speed simulation and live trading."
"PERF-012","4","Performance Optimizations","P1","Medium","TODO","Logging","Rate-limit per-tick zap debug logs to prevent log I/O bottleneck","LOG I/O BOTTLENECK. ingest.go processTick calls zap.L().Debug() with zap.Float64 fields on every single tick. At 8x simulation with 10 instruments = 80 ticks/sec minimum, this generates 80 structured log allocations per second even at debug level.\n\ncandle_engine.go StartFinalizer also logs at WARN level inside the lock on every finalization event.\n\nFIX:\n1. In processTick, replace the per-tick debug log with a rate-limited log:\n   if atomic.AddUint64(&logCounter, 1) % 100 == 0 {\n       zap.L().Debug(\"Tick sample\", ...)\n   }\n\n2. Or use go.uber.org/zap/zapcore.NewSamplerWithOptions to sample 1-in-100 tick log entries globally.\n\n3. Move the depth-empty warning (fires on every LTP tick) to DEBUG with a 1-per-minute rate limit per symbol.\n\n4. The candle broadcast debug log (candles.go:broadcastCandle) should be removed — it fires on every finalization.","internal/data/ingest.go | internal/data/candles.go | internal/marketdata/candles/candle_engine.go","","2","Quick win. Log I/O is often the real bottleneck in trading systems."
"PERF-013","4","Performance Optimizations","P1","High","TODO","Ingestor","Fix tickSequenceCounters unbounded memory growth — replace time.Time key with epoch-second","MEMORY LEAK. ingest.go tickSequenceCounters:\n  map[uint]map[time.Time]int\n\nAt 8x simulation with 10 instruments: each unique time.Time becomes a map key. At 80 ticks/sec, 288,000 keys/hour accumulate before cleanup. Each time.Time = 24 bytes → ~7MB/hr, potentially 50MB+ in long sessions.\n\nThe cleanup interval is 1s with expiry 2s — but cleanup holds sequenceMux while iterating the entire map, blocking processTick.\n\nFIX:\n1. Change inner map key from time.Time to int64 (Unix second):\n   tickSequenceCounters map[uint]map[int64]int\n   key := tick.EventTime.Unix()  // granularity = 1 second\n\n2. This reduces unique keys to at most 1 per instrument per second, bounded to ~10 entries per instrument at any given time.\n\n3. Ensure cleanup uses the int64 key:\n   if now.Unix()-ts > int64(expiryDuration.Seconds()) { delete(...) }\n\n4. If sub-second sequence tracking is needed, use a ring buffer of fixed size (e.g., last 1000 ticks per instrument) instead.","internal/data/ingest.go","","2","Fixes memory leak. Cleanup lock contention also reduced."
"PERF-014","5","Performance Optimizations","P1","Medium","TODO","WebSocket","Replace sync.Map for wsClients with RWMutex + typed map for better Range performance","PERFORMANCE. sync.Map is optimized for keys that are written once and read many times, or for cases where keys are disjoint across goroutines. For wsClients (high write rate during connect/disconnect, high read rate during Range), a standard map with RWMutex is faster.\n\nFIX:\n1. Replace `wsClients *sync.Map` in MarketDataIngestor and CandleGenerator with:\n   wsClientsMu sync.RWMutex\n   wsClients   map[*websocket.Conn]chan []byte\n\n2. Update Register/Unregister to use mu.Lock() and the typed map.\n\n3. In the broadcast worker, take mu.RLock(), copy the map entries to a local slice, release RLock, then iterate the slice for sends. This avoids holding the lock during channel sends.\n\n4. Update Hub in realtime/hub.go to pass the new typed map or use a consistent wiring pattern.","internal/data/ingest.go | internal/data/candles.go | internal/data/indicators_manager.go | internal/realtime/hub.go","FIX-007","4","Reduces GC pressure from sync.Map internal dirty/read map churn."
"CLEAN-001","3","Candle Correctness","P1","Medium","TODO","Cleanup","Delete all empty stub packages and placeholder files — safe-to-remove list","DEAD CODE. The following files contain only package declarations or doc comments with zero implementation. They bloat the codebase and confuse contributors about what is implemented.\n\nSAFE TO DELETE:\n  internal/strategy/intraday.go     (empty: package strategy)\n  internal/strategy/scalping.go     (empty: package strategy)\n  internal/strategy/selector.go     (empty: package strategy)\n  internal/strategy/swing.go        (empty: package strategy)\n  internal/execution/order.go       (comment-only stub)\n  internal/backtest/doc.go          (doc comment only)\n  internal/events/doc.go            (unused package)\n  internal/jobs/doc.go              (unused package)\n  internal/notifications/doc.go     (no implementation)\n  internal/telemetry/doc.go         (no implementation)\n  internal/broker/doc.go            (no implementation)\n  internal/services/doc.go          (no implementation)\n  internal/settings/doc.go          (no implementation)\n  internal/data/preprocess.go       (4-line file, empty)\n  internal/model/trainer.go         (placeholder)\n  internal/model/inference.go       (struct only, no impl)\n  cmd/backtest/backtest.go          (stub main)\n  models/sentiment.onnx             (134-byte fake file)\n  models/sentiment_optimized.onnx   (134-byte fake file)\n\nSAFE TO DELETE — unreachable function:\n  nextCandleStart() in candle_engine.go — defined, never called\n\nAll handler doc.go stubs under internal/api/handlers/* can be kept as navigation markers but should have a TODO comment, not pretend the package is implemented.","internal/strategy/ | internal/execution/order.go | internal/backtest/ | internal/events/ | internal/jobs/ | internal/notifications/ | internal/telemetry/ | internal/broker/ | internal/services/ | internal/settings/ | internal/data/preprocess.go | internal/model/trainer.go | internal/model/inference.go | cmd/backtest/backtest.go | models/ | internal/marketdata/candles/candle_engine.go","","2","Run `go build ./...` after each deletion to catch any unexpected compile errors."
"CLEAN-002","3","Candle Correctness","P1","Medium","TODO","Database","Fix brittle GORM error string comparison — use errors.Is(gorm.ErrRecordNotFound)","BRITTLE ERROR CHECK. app.go startRealFeed:\n  if res.Error.Error() == \"record not found\" { ... }\n\nThis string comparison breaks if GORM changes its error message. The idiomatic check is:\n  errors.Is(res.Error, gorm.ErrRecordNotFound)\n\nFIX:\n1. Replace all `res.Error.Error() == \"record not found\"` occurrences throughout the codebase with `errors.Is(res.Error, gorm.ErrRecordNotFound)`\n\n2. Also find and replace any similar string-based GORM error checks.\n\n3. Add `gorm.io/gorm` to imports where needed.\n\nRun: grep -rn '\"record not found\"' internal/ to find all occurrences.","internal/app/app.go","","1","Quick fix. Low effort, prevents silent bugs on GORM version upgrades."
"FO-001","5","F&O Foundation","P2","High","TODO","F&O","F&O instrument universe: load and store NFO/BFO instruments from Kite API","FOUNDATION. Zerodha provides NFO (NSE F&O) and BFO (BSE F&O) instruments via the instruments CSV. Currently only NSE equities are loaded.\n\nIMPLEMENTATION:\n1. Extend internal/api/instruments.go to download and parse the Kite instruments CSV for exchanges: NSE, BSE, NFO, BFO, MCX.\n\n2. Add the following fields to db.Instrument (extend migration 000003):\n   expiry           DATE\n   strike           DECIMAL(18,4)\n   option_type      VARCHAR(2)   -- 'CE', 'PE', '' for futures/equity\n   lot_size         INTEGER      -- already exists but ensure NOT NULL\n   underlying_token INTEGER      -- FK to parent equity instrument\n   segment          VARCHAR(20)  -- 'NFO-OPT', 'NFO-FUT', 'BFO-OPT', etc\n\n3. Create migration 000018_add_fo_instrument_fields.up.sql\n\n4. Create function BuildFOChain(underlyingSymbol string, expiry time.Time) []*InstrumentInfo in a new file internal/api/fo_instruments.go that returns all strikes for a given expiry (calls, puts, futures).\n\n5. Add FO instruments to symbols.yaml under a new `fo_instruments` key with fields: underlying, expiry_offset (nearest/next/far), option_types (CE/PE/both), strike_range (ATM±10).\n\n6. Extend startRealFeed in app.go to subscribe to FO instruments in addition to equity symbols.","internal/api/instruments.go | internal/api/fo_instruments.go | internal/db/models.go | internal/db/migrations/ | configs/symbols.yaml | internal/app/app.go","FIX-005","10","All other F&O tickets depend on this foundation."
"FO-002","5","F&O Foundation","P2","High","TODO","F&O","Implement Black-Scholes Greeks engine: Delta, Gamma, Theta, Vega, IV","Create internal/fo/greeks/greeks.go with a pure-Go Black-Scholes implementation for options Greeks calculation.\n\nREQUIRED FUNCTIONS:\n  // IV from market price (Newton-Raphson, max 100 iterations)\n  func ImpliedVolatility(S, K, T, r, marketPrice float64, optType string) (float64, error)\n\n  // Greeks given IV\n  type Greeks struct {\n      Delta float64\n      Gamma float64\n      Theta float64  // per calendar day\n      Vega  float64  // per 1% IV move\n      Rho   float64\n      IV    float64\n  }\n  func Calculate(S, K, T, r, sigma float64, optType string) Greeks\n\nPARAMETERS:\n  S = underlying spot price\n  K = strike price\n  T = time to expiry in years (use actual/365)\n  r = risk-free rate (use 6.5% for NSE/INR)\n  sigma = IV (annualized)\n  optType = \"CE\" or \"PE\"\n\nVALIDATION:\n  - Test against known BS prices for NIFTY options\n  - ATM Delta should be ≈ 0.5\n  - Deep ITM Delta CE ≈ 1.0, Deep OTM ≈ 0.0\n  - Theta should be negative\n  - Unit tests: TestGreeksATM, TestGreeksDeepITM, TestGreeksNearExpiry\n\nAlso create a Greeks cache:\n  internal/fo/greeks/cache.go — LRU cache keyed by (token, price, T) with 500ms TTL to avoid recomputing for unchanged inputs.","internal/fo/greeks/greeks.go | internal/fo/greeks/greeks_test.go | internal/fo/greeks/cache.go","FO-001","10","Core F&O math. Needed for all options strategies and risk management."
"FO-003","5","F&O Foundation","P2","High","TODO","F&O","Create option chain DB schema and in-memory option chain store","Create the data structures for tracking live option chain state.\n\nDB MIGRATION (000019_create_option_chain_tables.up.sql):\n  CREATE TABLE option_chain_snapshots (\n      id                BIGSERIAL PRIMARY KEY,\n      underlying_token  INTEGER NOT NULL,\n      expiry            DATE NOT NULL,\n      strike            DECIMAL(10,2) NOT NULL,\n      option_type       VARCHAR(2) NOT NULL,  -- CE/PE\n      instrument_token  INTEGER NOT NULL,\n      timestamp         TIMESTAMPTZ NOT NULL,\n      ltp               DECIMAL(10,4) NOT NULL,\n      bid               DECIMAL(10,4),\n      ask               DECIMAL(10,4),\n      volume            BIGINT,\n      oi                BIGINT,\n      iv                DECIMAL(8,6),\n      delta             DECIMAL(8,6),\n      gamma             DECIMAL(8,6),\n      theta             DECIMAL(8,6),\n      vega              DECIMAL(8,6)\n  );\n  SELECT create_hypertable('option_chain_snapshots','timestamp');\n\nIN-MEMORY STORE (internal/fo/chain/store.go):\n  type OptionChainStore struct {\n      mu      sync.RWMutex\n      chains  map[uint32]*OptionChain  // underlying token -> chain\n  }\n  type OptionChain struct {\n      Underlying   uint32\n      Expiry       time.Time\n      Strikes      map[float64]*StrikeData\n  }\n  type StrikeData struct {\n      CE, PE *OptionQuote\n      Future *FutureQuote\n  }\n\nOptionChainStore.UpdateFromTick(tick NormalizedTick, greeks fo.Greeks)\nOptionChainStore.GetChain(token uint32) *OptionChain\nOptionChainStore.GetATMStrikes(token uint32, n int) []float64  // n strikes around ATM","internal/fo/chain/store.go | internal/fo/chain/types.go | internal/db/migrations/000019_create_option_chain_tables.up.sql | internal/db/migrations/000019_create_option_chain_tables.down.sql","FO-002","8","Required for option chain visualization and strategy execution."
