Step,Week,Day,Time_Block,Phase,Task_ID,Title,Status,Why_First,File_To_Create_Or_Edit,What_To_Do,Depends_On,Estimated_Minutes,Difficulty_For_Beginner
43,2,Wed,13:00-14:30,Backtest,14,Implement GET /api/v1/backtests/{id},TODO,Poll backtest result,internal/api/handlers/backtest/backtest.go,Query backtest_jobs by id and user_id. Return status + result JSON when complete.,Step 42,90,Easy
44,2,Wed,14:30-16:00,Realtime,35,Implement WS topic: backtests/{id},TODO,Stream backtest progress to UI,internal/realtime/topics.go,In backtest goroutine call hub.Broadcast(topicBacktest+id progressPayload) periodically.,Step 34 + Step 43,90,Medium
45,2,Wed,16:00-17:00,Models,15,Implement GET /api/v1/models,TODO,MLModelsPanel.tsx model list,internal/api/handlers/models/models.go,Scan models/ directory for .onnx files. Return list with filename version active status.,Step 15,60,Easy
46,2,Thu,09:00-10:30,Models,41,Implement POST /api/v1/models/{id}/activate,TODO,Switch active model,internal/api/handlers/models/models.go,Validate model file exists. Store active model name in Redis. Return updated model list.,Step 45,90,Medium
47,2,Thu,10:30-12:00,Models,42,Implement GET /api/v1/models/jobs,TODO,List training jobs,internal/api/handlers/models/jobs.go,Query model_jobs table or Redis. Return list of job status.,Step 45,90,Medium
48,2,Thu,13:00-14:30,Realtime,32,Implement WS topic: models,TODO,Stream training progress,internal/realtime/topics.go,In retrain goroutine call hub.Broadcast(topicModels progressPayload) at each step.,Step 34 + Step 47,90,Hard
49,2,Thu,14:30-16:00,Sentiment,16,Implement GET /api/v1/news,TODO,SentimentPanel.tsx news feed,internal/api/handlers/sentiment/sentiment.go,Uncomment and fix news_pipeline.go. Query news_articles ordered by published_at DESC. Support limit and page.,Step 8,90,Hard
50,2,Thu,16:00-17:00,Sentiment,16,Implement GET /api/v1/sentiment/summary,TODO,Sentiment score summary for dashboard,internal/api/handlers/sentiment/sentiment.go,Aggregate avg sentiment_score from news_articles in last 24h grouped by label. Return counts and avg score.,Step 49,60,Medium
51,2,Fri,09:00-10:30,Realtime,33,Implement WS topic: sentiment,TODO,Stream new articles live,internal/realtime/topics.go,After inserting article call hub.Broadcast(topicSentiment articlePayload).,Step 34 + Step 50,90,Medium
52,2,Fri,10:30-12:00,Notifications,17,Implement POST /api/v1/notifications/test,TODO,Test Telegram or WhatsApp notification,internal/api/handlers/notifications/notifications.go,Read channel config from user_settings. Call Telegram Bot API or WhatsApp API. Return success or error.,Step 20,90,Hard
53,2,Fri,13:00-14:30,Realtime,34,Implement WS topic: alerts,TODO,Stream risk and error alerts,internal/realtime/topics.go,Call hub.Broadcast(topicAlerts) from order monitor and strategy runner when risk limits hit.,Step 34 + Step 52,90,Medium
54,2,Fri,14:30-15:30,Audit,29,Implement audit event logging,TODO,Track all sensitive actions for security,internal/db/audit.go,Write LogAuditEvent func that inserts into audit_events table. Call from login logout broker-connect order-place handlers.,Step 8,60,Medium
55,2,Fri,15:30-17:00,Runtime,44,Implement GET /api/v1/runtime/config,TODO,Dashboard header needs mode and server time,internal/api/handlers/runtime/runtime.go,Return appCfg.Market.Simulate mode + server time + JWT expiry + configured intervals. No secrets.,Step 15,90,Easy
56,3,Mon,09:00-10:30,Runtime,45,Implement GET /api/v1/runtime/metrics,TODO,System health panel,internal/api/handlers/runtime/runtime.go,Return connected WS clients count + DB ping latency + Redis ping latency + memory stats.,Step 55,90,Medium
57,3,Mon,10:30-12:00,Profile,46,Implement PATCH /api/v1/me,DONE,Settings page profile update,internal/api/handlers/profile/me.go,Validates userName (min 1 max 100). Updates user_name column. Returns updated meResponse.,Step 16,90,Easy
58,3,Mon,13:00-14:30,Market,19,Implement GET /api/v1/indicators (REST),TODO,Chart needs indicator seed data on load,internal/api/handlers/market/indicators.go,Accept token interval indicator period params. Query IndicatorSMA/EMA/RSI/MACD table. Return timestamped values.,Step 25,90,Medium
59,3,Mon,14:30-16:00,Market,18,Implement GET /api/v1/quotes,DONE,Batch quote endpoint for watchlist prices,internal/server/api_v1.go,Implemented in api_v1.go. Fetches from Zerodha or falls back to heatmap snapshot.,Step 24,90,Medium
60,3,Mon,16:00-17:00,Orders,38,Implement POST /api/v1/gtt and GET /api/v1/gtt,TODO,GTT orders for PositionsPanel,internal/api/handlers/orders/gtt.go,POST: validate trigger price and target. Insert order with ValidUntil set. GET: query GTT orders for current user.,Step 30,60,Medium
61,3,Tue,09:00-10:30,Market,47,Implement GET /api/v1/market/heatmap (REST),TODO,Initial heatmap render before WS connects,internal/api/handlers/market/heatmap.go,Call data.GetMarketHeatmap().Snapshot(). Return as JSON.,Step 15,90,Easy
62,3,Tue,10:30-12:00,Market,48,Implement GET /api/v1/instruments/{token},TODO,Instrument detail by token,internal/api/handlers/market/instruments.go,Query instruments WHERE instrument_token = token. Return full instrument struct.,Step 24,90,Easy
63,3,Tue,13:00-17:00,Cleanup,–,Remove old /api/data/users and /api/cache/test debug routes,TODO,Old debug routes expose raw DB data publicly,internal/server/routes.go,Remove /api/data/users and /api/cache/test. Move /api/instrument to /api/v1/instruments/search. All behind auth.,All previous steps,240,Medium
64,3,Wed,09:00-12:00,Cleanup,–,Extract instrument seeding into cmd/server/seed.go,TODO,main.go is 300+ lines. Hard to read and maintain,cmd/server/seed.go,Move instrument seeding loop into seedInstruments(ctx dbClient instruments) func in new file.,Step 63,180,Easy
65,3,Wed,13:00-17:00,Testing,–,Write integration test for auth flow,TODO,Catch regressions as you add more features,internal/api/handlers/auth/auth_test.go,Use httptest.NewRecorder. Test signup → login → /me → refresh → logout sequence.,Step 63,240,Hard
66,3,Thu,09:00-12:00,Security,–,Tighten CORS: replace wildcard with allowed origins from config,DONE,Production readiness. Wildcard CORS is a security risk,internal/server/routes.go,ALLOWED_ORIGINS env var read. corsAllowedOrigins() returns allowlist. Wildcard removed.,Step 63,180,Medium
67,3,Thu,13:00-17:00,Security,–,Add idempotency key check on POST /api/v1/orders,TODO,Prevent duplicate orders on network retry,internal/api/handlers/orders/orders.go,Read Idempotency-Key header. Check Redis for existing response. Cache result for 24h.,Step 30,240,Hard
68,3,Fri,09:00-12:00,Cleanup,–,Review and fill all empty doc.go packages,TODO,Empty packages need real code or removal,All internal/*/doc.go files,For each package: implement or delete and remove the import. Do not leave empty placeholder packages in production.,All previous steps,180,Medium
69,3,Fri,13:00-17:00,Final,–,End-to-end smoke test of entire system,TODO,Verify everything works together before calling v1 done,–,Start server. Test: login → dashboard → watchlist → paper order → position → backtest → sentiment → notification.,All previous steps,240,Medium
S1,–,–,–,Stability,–,Fix simulation mode nil-pointer crash,DONE,Server crashed on startup in simulate mode,cmd/server/main.go,Zerodha validation and instrument subscription guarded behind !simulate. simInstruments variable shadowing fixed.,–,30,Easy
S2,–,–,–,Stability,–,Add WebSocket read deadlines and pong handlers,DONE,Stale connections hung indefinitely with no timeout,internal/server/routes.go,SetReadLimit + SetReadDeadline + SetPongHandler added to /ws /ws/candles /ws/indicators /ws/heatmap.,–,60,Medium
S3,–,–,–,Stability,–,Add WebSocket ping and write deadlines to all writePumps,DONE,No heartbeat meant dead clients were never detected,internal/data/ingest.go + candels.go + indicators_manager.go,Ping ticker (45s) and write deadline (10s) added to all three writePump implementations.,–,60,Medium
S4,–,–,–,Stability,–,Fix heatmap broadcast blocking and no context cancellation,DONE,Blocking write with no deadline + no shutdown path,internal/server/broadcast.go,Context cancellation + write deadlines + ping ticker + background read drain goroutine added.,–,45,Medium
S5,–,–,–,Stability,–,Fix Redis pubsub reconnect connection leak,DONE,Old pubsub was not closed before reassigning on reconnect,internal/data/candels.go,pubsub.Close() + nil before reassign. time.Sleep replaced with context-aware select.,–,30,Easy
S6,–,–,–,Stability,–,Replace Fatal calls in worker goroutines,DONE,Fatal from background goroutine kills entire process,internal/data/ingest.go + candels.go,All Fatal in subscribeAndProcessRedis + startDBFlusher + candle subscribe replaced with Error+return.,–,30,Easy
S7,–,–,–,Stability,–,Fix double-close panic on monitorStopCh,DONE,ctx.Done branch and defer both closed the same channel,internal/data/candels.go,Safe-close pattern applied. Redundant close in ctx.Done branch removed.,–,15,Easy
S8,–,–,–,Stability,–,Fix tick depth array access safety,DONE,Direct [5]DepthItem array — confirmed always 5 elements. Previous guard silently dropped valid ticks.,internal/data/ingest.go,Direct array assignment used. Unnecessary skip-on-partial-depth guard removed.,–,20,Easy
S9,–,–,–,Stability,–,Fix flaky TestRequestID_UniquePerRequest test,DONE,UnixNano collisions under rapid sequential requests,internal/middleware/requestid.go,Atomic counter suffix added to generated request IDs. All tests now pass.,–,15,Easy
