ID,Category,Priority,Status,Title,Description,File/Location,Notes
26,Pending Task,Medium,TODO,Implement input validation layer,Validate all request bodies and query params before handler logic,internal/validation/,Placeholder package exists
27,Pending Task,Medium,TODO,Implement settings DB migration and model,user_settings table with section + settings_json + timestamps,internal/db/migrations/000012_create_user_settings_table,Migration file exists but may be empty
28,Pending Task,Medium,TODO,Implement notification channel/history tables,notification_channels and notification_history DB tables,internal/db/migrations/000015_create_notification_tables,Migration file exists
29,Pending Task,Medium,TODO,Implement audit events table and logging,Audit trail for account/settings/broker/order/admin actions,internal/db/migrations/000016_create_audit_events_table,Migration file exists
30,Pending Task,Medium,TODO,Implement WS /ws/signals,Stream signal creation/update/expiry events,internal/realtime/,Needed by StrategyPanel.tsx
31,Pending Task,Medium,TODO,Implement WS /ws/orders and /ws/positions,Stream order and position updates,internal/realtime/,Needed by PositionsPanel.tsx
32,Pending Task,Medium,TODO,Implement WS /ws/models,Stream ML model training job progress,internal/realtime/,Needed by MLModelsPanel.tsx
33,Pending Task,Medium,TODO,Implement WS /ws/sentiment,Stream new articles and sentiment updates,internal/realtime/,Needed by SentimentPanel.tsx
34,Pending Task,Medium,TODO,Implement WS /ws/alerts,Stream risk/order/error alerts,internal/realtime/,Needed by notifications panel
35,Pending Task,Medium,TODO,Implement WS /ws/backtests/{id},Stream backtest job progress,internal/realtime/,Needed by backtest UI
36,Pending Task,Medium,TODO,Implement GET /api/v1/trades,Return executed trades for current user,internal/api/handlers/orders/,DB model exists
37,Pending Task,Medium,TODO,Implement DELETE /api/v1/orders/{id} and PUT /api/v1/orders/{id},Cancel and modify open orders,internal/api/handlers/orders/,Needed by PositionsPanel.tsx
38,Pending Task,Medium,TODO,Implement POST /api/v1/gtt and GET /api/v1/gtt,GTT order creation and listing,internal/api/handlers/orders/,Needed by PositionsPanel.tsx
39,Pending Task,Medium,TODO,Implement POST /api/v1/strategies/{name}/start and /stop,Start and stop strategy runner per user,internal/api/handlers/strategies/,Needed by StrategyPanel.tsx
40,Pending Task,Medium,TODO,Implement GET /api/v1/signals,Return latest generated signals,internal/api/handlers/strategies/,Needed by StrategyPanel.tsx
41,Pending Task,Medium,TODO,Implement POST /api/v1/models/{id}/activate and /retrain,Activate model and trigger retraining job,internal/api/handlers/models/,Needed by MLModelsPanel.tsx
42,Pending Task,Medium,TODO,Implement GET /api/v1/models/jobs,List training and inference jobs,internal/api/handlers/models/,Needed by MLModelsPanel.tsx
43,Pending Task,Medium,TODO,Implement POST /api/v1/sentiment/analyze,On-demand sentiment analysis for text/article,internal/api/handlers/sentiment/,Optional but useful
44,Pending Task,Low,TODO,Implement GET /api/v1/runtime/config,Return safe non-secret runtime config: mode + intervals + server time + session state,internal/api/handlers/runtime/,Needed by settings and dashboard header
45,Pending Task,Low,TODO,Implement GET /api/v1/runtime/metrics,Return DB errors + WS drops + broadcast rate + connected clients + Redis lag + memory/CPU,internal/api/handlers/runtime/,Needed by StrategyPanel system health
46,Pending Task,Low,TODO,Implement PATCH /api/v1/me,Update display name and preferences,internal/api/handlers/profile/,Needed by settings
47,Pending Task,Low,TODO,Implement GET /api/v1/market/heatmap (REST),Return current heatmap snapshot for initial render before WebSocket,internal/api/handlers/market/,WebSocket /ws/heatmap exists
48,Pending Task,Low,TODO,Implement GET /api/v1/instruments/{token},Return instrument metadata by token,internal/api/handlers/market/,Needed by various panels
49,Pending Task,Low,TODO,Implement PATCH /api/v1/settings/{section},Save a single settings section,internal/api/handlers/settings/,Complement to PUT /api/v1/settings
50,Pending Task,Low,TODO,Implement POST /api/v1/settings/test,Send test notification or validate config section,internal/api/handlers/settings/,Needed by Settings.tsx Test Tab action
51,Pending Task,Low,TODO,Implement GET /api/v1/notifications/history,List delivered and failed alerts,internal/api/handlers/notifications/,Needed by notifications panel
52,Pending Task,Low,TODO,Implement GET /api/v1/backtests,List all backtest jobs for current user,internal/api/handlers/backtest/,Needed by backtest UI
53,Pending Task,Low,TODO,Implement broker reconciliation worker,Background worker to sync positions/orders/trades from broker to DB,internal/broker/,Needed for accurate position display
54,Pending Task,Low,TODO,Implement graceful HTTP server shutdown,Use http.Server.Shutdown instead of bare ListenAndServe,internal/server/routes.go,Currently process exits abruptly on signal
55,Pending Task,Low,TODO,Implement OpenAPI/Swagger contract,Generate or write openapi.yaml for all v1 endpoints,docs/openapi.yaml,Stub file exists
56,Pending Task,Low,TODO,Implement versioned API route registration,Refactor routes.go to register all routes under /api/v1/ prefix,internal/server/routes.go,Currently mixed /api/* and /api/v1/*
57,TODO Comment,High,TODO,Uncomment and integrate news_pipeline.go,Entire news pipeline is commented out; no active news fetching or sentiment pipeline,internal/data/news_pipeline.go,Prometheus metrics + multi-source fetchers are ready but disabled
58,TODO Comment,High,TODO,Implement strategy logic in intraday.go,File contains only package declaration; intraday momentum strategy not implemented,internal/strategy/intraday.go,Empty skeleton
59,TODO Comment,High,TODO,Implement strategy logic in scalping.go,File contains only package declaration; scalping strategy not implemented,internal/strategy/scalping.go,Empty skeleton
60,TODO Comment,High,TODO,Implement strategy logic in swing.go,File contains only package declaration; swing strategy not implemented,internal/strategy/swing.go,Empty skeleton
61,TODO Comment,High,TODO,Implement strategy selector in selector.go,File contains only package declaration; strategy selection logic not implemented,internal/strategy/selector.go,Empty skeleton
62,TODO Comment,High,TODO,Implement backtest entry point in cmd/backtest/backtest.go,File contains only package main; no backtest runner logic,cmd/backtest/backtest.go,Empty skeleton
63,TODO Comment,High,TODO,Implement order placement logic in execution/order.go,File contains only package declaration; no order placement implementation,internal/execution/order.go,Package is named 'monitor' which is also wrong
64,Bugfix,Critical,OPEN,Public /api/data/users endpoint exposes all user records,No authentication; any client can dump the entire users table,internal/server/routes.go line ~75,Must be removed or replaced with protected GET /api/v1/me
65,Bugfix,Critical,OPEN,Public /api/cache/test endpoint allows unauthenticated Redis writes,Debug endpoint is publicly writable to Redis in production,internal/server/routes.go line ~85,Must be removed or protected behind admin auth
66,Bugfix,Critical,OPEN,Type assertion panic risk on zerodhaClient,zerodhaClient.(*api.ZerodhaClient) will panic if a non-ZerodhaClient implementation is injected,internal/server/routes.go line ~72,Use interface method dispatch instead of type assertion
67,Bugfix,Critical,OPEN,CORS allows all origins (*),Access-Control-Allow-Origin is set to * in production; must be restricted to known frontend origins,internal/server/routes.go enableCORS function,Tighten to allowlist before production
68,Bugfix,Critical,OPEN,Access token loaded from .access_token file globally not per-user,Single global access token is not multi-user safe and risks accidental commit of credentials,cmd/server/main.go + .access_token file,Must be per-user encrypted in DB
69,Bugfix,High,OPEN,WebSocket handlers have no read/write deadlines or max message size,Connections can hang indefinitely; no protection against slow clients or large payloads,internal/server/routes.go all WS handlers,Add SetReadDeadline + SetWriteDeadline + SetReadLimit
70,Bugfix,High,OPEN,WebSocket handlers have no ping/pong heartbeat,Stale connections are not detected; clients appear connected after network drop,internal/server/routes.go all WS handlers,Add pong handler + periodic ping
71,Bugfix,High,OPEN,/ws/heatmap broadcasts every 200ms with no backpressure,High-frequency broadcast to all clients with no throttle or client-configurable rate,internal/server/broadcast.go,Add throttle or client-configurable interval
72,Bugfix,High,OPEN,startMonitoring goroutine in ingest.go has no stop channel,Goroutine runs forever with no context cancellation support; leaks on shutdown,internal/data/ingest.go startMonitoring,Add ctx.Done() case like CandleGenerator does
73,Bugfix,High,OPEN,processTick accesses tick.Depth.Buy[0..4] without bounds check,If Zerodha returns fewer than 5 depth levels the code will panic with index out of range,internal/data/ingest.go processTick function,Add len check before accessing depth slices
74,Bugfix,High,OPEN,execution/order.go package name is 'monitor' not 'order',Package declaration mismatch will cause import confusion and compile issues,internal/execution/order.go,Rename package to 'execution' or 'order'
75,Bugfix,High,OPEN,marketCloseHour/Minute constants are set to 23:59 instead of 15:30,Market close time is wrong; candles will be generated outside real market hours,internal/data/candels.go lines 26-27,Fix to marketCloseHour=15 marketCloseMinute=30
76,Bugfix,High,OPEN,CandleGenerator reconnect on channel close does not close old pubsub,When Redis channel closes and reconnect happens the old pubsub is not closed before reassigning,internal/data/candels.go StartCandleGeneration reconnect block,Close old pubsub before reassigning
77,Bugfix,Medium,OPEN,Inconsistent field casing across WebSocket message types,Tick uses PascalCase (InstrumentToken); candle uses snake_case (instrument_token); indicator uses camelCase (instrumentToken),internal/data/ingest.go + candels.go + indicators_manager.go,Normalize to camelCase or snake_case across all WS messages
78,Bugfix,Medium,OPEN,Symbol format inconsistency across the codebase,Tick symbol is 'RELIANCE (NSE)'; REST quote keys are 'NSE:RELIANCE'; DB uses Tradingsymbol+Exchange separately,Multiple files,Standardize to 'NSE:RELIANCE' format everywhere
79,Bugfix,Medium,OPEN,Instrument.InstrumentToken type mismatch,DB model uses uint; tick/candle/indicator flows use uint32; migrations use BIGINT vs INTEGER,internal/db/models.go + migrations,Normalize to uint32 or int64 consistently
80,Bugfix,Medium,OPEN,UnregisterWebSocketClient in ingest.go drains channel instead of closing it,The select/drain pattern before close can silently discard messages; should just close,internal/data/ingest.go UnregisterWebSocketClient,Replace drain pattern with direct close
81,Bugfix,Medium,OPEN,writePump in ingest.go calls UnregisterWebSocketClient which calls conn.Close again,Double close on websocket connection; UnregisterWebSocketClient is called both by defer in handler and by writePump defer,internal/data/ingest.go writePump + UnregisterWebSocketClient,Remove conn.Close from writePump defer or guard with sync.Once
82,Bugfix,Medium,OPEN,cmd/main.go requires Zerodha credentials even when market.simulate is true,Simulation mode should not require live Zerodha session validation,cmd/server/main.go,Add conditional Zerodha init based on simulate flag
83,Bugfix,Medium,OPEN,zap.L().Fatal called from worker goroutines,Fatal exits the entire process from background workers instead of surfacing recoverable errors,internal/data/ingest.go subscribeAndProcessRedis + candels.go,Replace Fatal with Error + return in worker paths
84,Bugfix,Low,OPEN,startTime variable declared but unused in routes.go,Declared global startTime is never read; dead code,internal/server/routes.go,Remove or use in health endpoint uptime calculation
85,Bugfix,Low,OPEN,candleWsClients sync.Map declared but never used in routes.go,SetCandleClients stores to candleWsClients but CandleGenerator uses its own internal map,internal/server/routes.go,Remove unused candleWsClients global or wire it correctly
86,Refactoring,High,OPEN,Refactor routes.go into versioned route registration,All routes should be under /api/v1/ with handler functions in dedicated handler packages,internal/server/routes.go,Inline handler lambdas should move to handler packages
87,Refactoring,High,OPEN,Move hardcoded symbol lists to DB/config,Symbol lists are duplicated in cmd/main.go (real + simulated) and frontend components,cmd/server/main.go,Store in DB watchlist; expose via /api/v1/watchlists
88,Refactoring,High,OPEN,Extract inline handler lambdas from routes.go,/api/data/users and /api/cache/test are inline lambdas; should be proper handler functions,internal/server/routes.go,Move to handler packages with proper error handling
89,Refactoring,High,OPEN,Refactor WebSocket handlers to use unified hub pattern,Four separate WS endpoints with duplicated upgrade/register/read-loop logic,internal/server/routes.go,Create a single Hub struct with topic-based dispatch
90,Refactoring,Medium,OPEN,Refactor news_pipeline.go to uncomment and integrate properly,Entire file is commented out; needs to be integrated with proper config and DB persistence,internal/data/news_pipeline.go,Wire to NewsArticle DB model and sentiment scoring
91,Refactoring,Medium,OPEN,Refactor indicator type switch in calculateAndStoreAllIndicators,Large type switch with repeated NaN check pattern; extract to helper or use interface method,internal/data/indicators_manager.go calculateAndStoreAllIndicators,Add GetLatestValue() to IndicatorResult interface
92,Refactoring,Medium,OPEN,Refactor hardcoded outputWorkerCount=30 in IndicatorManager,Worker count is hardcoded; should come from config like other worker counts,internal/data/indicators_manager.go NewIndicatorManager,Add to AppConfig.Ingestion
93,Refactoring,Medium,OPEN,Refactor processedIndicatorCh buffer size hardcoded to 5000,Channel buffer size should come from config,internal/data/indicators_manager.go NewIndicatorManager,Add to AppConfig.Ingestion
94,Refactoring,Medium,OPEN,Normalize WebSocket message envelope across all streams,All WS messages should use the same {type topic eventId serverTime data} envelope,internal/data/ingest.go + candels.go + indicators_manager.go + broadcast.go,Defined in Tasks.md Global WebSocket Standards
95,Refactoring,Medium,OPEN,Refactor security package to use KMS for master key,AES-GCM encryption exists but master key comes from env; should support AWS KMS or similar,internal/security/encryption.go,KMS integration noted as production enhancement in Tasks.md
96,Refactoring,Low,OPEN,Rename candels.go to candles.go,Typo in filename,internal/data/candels.go,Rename file
97,Refactoring,Low,OPEN,Update README to match actual code structure,README references files that do not exist: internal/server/http.go + websocket.go + router.go + auth/handlers.go,README.md,Update after APIs are implemented
98,Refactoring,Low,OPEN,Remove or replace context import in routes.go,context is imported but unused after health handler was simplified,internal/server/routes.go,Remove unused import
99,New Feature,Critical,TODO,JWT authentication system,Full JWT access + refresh token system with short expiry + rotation + session invalidation,internal/auth/,Required before any user-facing feature
100,New Feature,Critical,TODO,Broker secret encryption with envelope encryption,Encrypt API secret + access token + Telegram bot token using AES-GCM with env/KMS master key,internal/security/,AES-GCM utility exists; needs wiring to broker account storage
101,New Feature,Critical,TODO,Trading safety kill switch and daily loss circuit breaker,Kill switch to halt all trading + daily loss limit enforcement before order placement,internal/execution/,Required before any live trading
102,New Feature,Critical,TODO,Order idempotency key enforcement,Reject duplicate order requests using Idempotency-Key header + Redis/DB dedup,internal/execution/order.go,Required for safe order placement
103,New Feature,High,TODO,Per-user settings persistence,Store and retrieve user settings per section with secret field encryption,internal/settings/ + internal/db/,Settings.tsx frontend is ready
104,New Feature,High,TODO,Zerodha OAuth flow implementation,Full OAuth: generate login URL + handle callback + exchange token + store encrypted,internal/broker/,GET /api/v1/brokers/zerodha/connect + callback route
105,New Feature,High,TODO,Strategy runner engine,Execute enabled strategies against live tick/candle data and emit signals,internal/strategy/,All strategy files are empty
106,New Feature,High,TODO,Backtest engine implementation,Run strategy against historical candle data with fee simulation and equity curve output,internal/backtest/ + cmd/backtest/,cmd/backtest/backtest.go is empty
107,New Feature,High,TODO,News pipeline activation and sentiment scoring,Uncomment news_pipeline.go + wire to ONNX sentiment model + persist to NewsArticle table,internal/data/news_pipeline.go + internal/model/,Pipeline code exists but is disabled
108,New Feature,High,TODO,Notification delivery system,Send Telegram/WhatsApp alerts for trade execution + PnL threshold + error events,internal/notifications/,Placeholder package exists; no implementation
109,New Feature,High,TODO,WebSocket authentication handshake,Require Bearer JWT or short-lived WS token on all WebSocket upgrades,internal/server/routes.go + internal/middleware/,Currently all WS endpoints are unauthenticated
110,New Feature,High,TODO,Topic-level WebSocket authorization,Validate that authenticated user is allowed to subscribe to requested topics,internal/realtime/,Required for multi-user safety
111,New Feature,Medium,TODO,Request size limits middleware,Limit request body size to prevent abuse,internal/middleware/,Add http.MaxBytesReader wrapper
112,New Feature,Medium,TODO,Security headers middleware,Add X-Content-Type-Options + X-Frame-Options + Strict-Transport-Security headers,internal/middleware/,Required for production hardening
113,New Feature,Medium,TODO,CSRF protection for browser cookie flows,Add CSRF token validation if cookie-based sessions are used,internal/middleware/,Required if switching from Bearer to cookie auth
114,New Feature,Medium,TODO,Per-client WebSocket send queue with backpressure policy,Each WS client should have bounded send queue with drop/disconnect policy on overflow,internal/realtime/,Partial implementation exists in ingest.go writePump
115,New Feature,Medium,TODO,Pagination for all list endpoints,Add cursor-based pagination to orders + trades + positions + news + notifications,internal/api/,Defined in Tasks.md Global API Standards
116,New Feature,Medium,TODO,Multi-broker adapter interface,Abstract broker operations behind interface so non-Zerodha brokers can be added,internal/broker/,Required for international product readiness
117,New Feature,Medium,TODO,Per-market trading calendar support,Respect NSE/BSE market holidays and session times per market,internal/market/,Required for correct candle generation and order validation
118,New Feature,Medium,TODO,Environment variable validation at boot,Validate all required env vars on startup and fail fast with clear error messages,cmd/server/main.go,Prevents silent misconfiguration
119,New Feature,Medium,TODO,Structured audit log for all order and broker actions,Write immutable audit events to audit_events table for every order request and broker response,internal/db/ + internal/execution/,Migration 000016 exists
120,New Feature,Low,TODO,Subscription/billing module design,Design usage limits by plan for future paid multi-user launch,internal/,Not started; noted in Tasks.md business readiness
121,New Feature,Low,TODO,Device/session list endpoint,Allow users to view and revoke active sessions,internal/auth/,Required for security dashboard
122,New Feature,Low,TODO,MFA support,Add TOTP-based MFA before public launch,internal/auth/,Noted in Tasks.md as optional before public launch
123,New Feature,Low,TODO,Feature flags for country/broker rollout,Control feature availability per country or broker type,internal/,Required for international product readiness
124,New Feature,Low,TODO,OpenAPI contract tests,Automated tests that validate handler responses against openapi.yaml schema,docs/ + tests/,Noted in Tasks.md suggested build order step 13
125,Bugfix,Critical,OPEN,Hardcoded Windows absolute model path in sentiment.go,modelPath is hardcoded to 'D:/troject/go-project/models/sentiment_optimized.onnx'; will fail on any other machine or OS,internal/model/sentiment.go line ~95,Make configurable via env var or AppConfig
126,Bugfix,High,OPEN,Sentiment tokenization uses exec.Command('python') subprocess,Calling an external Python script for every inference request is fragile + slow + not portable; Python may not be in PATH,internal/model/sentiment.go AnalyzeSentiment,Replace with a pure-Go tokenizer or embed tokenization in the ONNX model pipeline
127,Bugfix,High,OPEN,ONNX Runtime not destroyed on tensor creation failure,inputIDsTensor and attentionMaskTensor are created but if outputTensor creation fails they are never destroyed causing memory leaks,internal/model/sentiment.go AnalyzeSentiment,Add defer inputIDsTensor.Destroy() and defer attentionMaskTensor.Destroy() immediately after creation
128,Bugfix,Medium,OPEN,inference.go and trainer.go are empty stubs with misleading comment,Both files contain only a comment saying 'Add sentiment analysis code here' but sentiment.go already has the implementation,internal/model/inference.go + internal/model/trainer.go,Either implement proper inference/trainer split or remove the empty files
129,Bugfix,Medium,OPEN,ONNX_DLL_PATH missing causes silent no-op instead of error,initializeORT prints to stdout and returns nil when ONNX_DLL_PATH is not set; caller gets no error and proceeds,internal/model/sentiment.go initializeORT,Return an error when ONNX_DLL_PATH is empty
130,Bugfix,Medium,OPEN,softmax modifies input slice in-place,softmax mutates the logits slice passed to it; then the original logits slice is used again for argmax after softmax which gives wrong probabilities,internal/model/sentiment.go softmax + AnalyzeSentiment,Use probabilities slice for argmax not the mutated logits slice (bug: maxVal/maxIdx loop reads logits not probabilities)
131,Bugfix,Low,OPEN,ZerodhaClient stores APISecret in plain struct field,APISecret is stored as a plain string in the ZerodhaClient struct and could be logged or serialized accidentally,internal/api/zerodha.go ZerodhaClient struct,Remove APISecret from struct; pass only when needed for token exchange
132,Pending Task,High,TODO,Wire contracts package to all HTTP handlers,SuccessResponse and ErrorResponse envelope structs exist in internal/contracts but no handler uses them yet,internal/contracts/envelope.go,All handlers currently return raw JSON or plain text
133,Pending Task,High,TODO,Wire WSEvent envelope to all WebSocket broadcasts,WSEvent and WSErrorEvent structs exist in internal/contracts/websocket.go but all WS broadcasts still use ad-hoc map[string]interface{},internal/contracts/websocket.go,Tick + candle + indicator + heatmap broadcasts need to use typed envelopes
134,Pending Task,Medium,TODO,Implement ONNX model path configuration,Model path should come from AppConfig or env var not be hardcoded,internal/model/sentiment.go + configs/model.yaml,model.yaml exists and likely has a path field
135,Pending Task,Medium,TODO,Implement model trainer logic in trainer.go,trainer.go is an empty stub; retraining pipeline needs to be implemented,internal/model/trainer.go,Needed by POST /api/v1/models/{id}/retrain
136,Pending Task,Medium,TODO,Implement model inference abstraction in inference.go,inference.go is an empty stub; should wrap AnalyzeSentiment with a clean interface,internal/model/inference.go,Needed by news pipeline and sentiment API
137,Refactoring,Medium,OPEN,Decouple sentiment.go from exec.Command Python subprocess,Replace Python tokenizer subprocess with embedded Go tokenizer or pre-tokenized inputs,internal/model/sentiment.go,Improves portability and inference latency
138,Refactoring,Low,OPEN,Move LoadAccessTokenFromFile out of zerodha.go into a bootstrap utility,Token loading is a startup concern not a Zerodha client concern,internal/api/zerodha.go,Move to cmd/server/main.go or internal/utils/
139,New Feature,Medium,TODO,ONNX Runtime environment lifecycle management,ORT environment is initialized once but never destroyed on shutdown; add cleanup on graceful shutdown,internal/model/sentiment.go ortInitOnce,Call onnxruntime.DestroyEnvironment() in shutdown hook
140,New Feature,Low,TODO,Model versioning and hot-swap support,Allow activating a different ONNX model file without restarting the server,internal/model/,Needed by POST /api/v1/models/{id}/activate
